Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1520892000.0 1.0 52 74 128 NA NA NA NA 97 146 183 NA NA NA NA 3110 340 933 NA NA NA NA 3416 392 1037 NA NA NA NA
1520892000.0 1000.0 NA 221 126 0 47 NA NA NA 289 185 0 79 NA NA NA 2088 452 390 115 NA NA NA 2223 834 1442 286 NA NA
1520892000.0 1002.0 NA 214 59 NA NA NA NA NA 279 99 NA NA NA NA NA 2769 162 NA NA NA NA NA 3200 187 NA NA NA NA
1520892000.0 10021.0 NA 88 128 0 NA NA NA NA 181 179 0 NA NA NA NA 646 765 250 NA NA NA NA 895 968 322 NA NA NA
1520892000.0 10023.0 NA 87 130 0 NA NA NA NA 181 181 0 NA NA NA NA 551 403 182 NA NA NA NA 775 435 191 NA NA NA
1520892000.0 10024.0 NA 95 132 0 NA NA NA NA 181 185 0 NA NA NA NA 688 712 302 NA NA NA NA 793 893 339 NA NA NA
1520892000.0 10025.0 NA 88 130 0 NA NA NA NA 181 180 0 NA NA NA NA 569 405 185 NA NA NA NA 749 438 191 NA NA NA
1520892000.0 10026.0 NA 94 133 0 NA NA NA NA 181 185 0 NA NA NA NA 649 782 288 NA NA NA NA 769 895 366 NA NA NA
1520892000.0 1003.0 NA 179 0 NA NA NA NA NA 251 0 NA NA NA NA NA 3528 359 NA NA NA NA NA 3823 405 NA NA NA NA
1520892000.0 1004.0 NA 179 131 0 0 0 0 NA 241 180 0 0 0 0 NA 580 214 6 58 401 439 NA 663 245 15 68 443 496
1520892000.0 10225.0 NA 125 199 0 NA NA NA NA 203 283 0 NA NA NA NA 2658 2300 244 NA NA NA NA 6492 6433 270 NA NA NA
1520892000.0 103.0 47 76 192 NA NA NA NA 91 148 254 NA NA NA NA 728 180 259 NA NA NA NA 750 189 271 NA NA NA NA
1520892000.0 109.0 56 81 196 NA NA NA NA 101 148 254 NA NA NA NA 4046 303 441 NA NA NA NA 4136 337 477 NA NA NA NA
1520892000.0 110.0 45 77 189 NA NA NA NA 89 148 254 NA NA NA NA 584 307 282 NA NA NA NA 679 319 298 NA NA NA NA
1520892000.0 1102.0 NA 82 201 117 66 NA NA NA 150 262 179 112 NA NA NA 2429 3191 2792 213 NA NA NA 2534 3406 3191 230 NA NA
1520892000.0 111.0 52 81 189 NA NA NA NA 98 148 254 NA NA NA NA 3716 302 486 NA NA NA NA 3933 394 566 NA NA NA NA
1520892000.0 122.0 52 77 190 NA NA NA NA 97 148 254 NA NA NA NA 1770 208 274 NA NA NA NA 1995 223 288 NA NA NA NA
1520892000.0 13.0 NA 74 190 0 NA NA NA NA 150 254 0 NA NA NA NA 286 921 417 NA NA NA NA 327 1187 424 NA NA NA
1520892000.0 130.0 44 74 188 NA NA NA NA 84 148 253 NA NA NA NA 602 325 328 NA NA NA NA 669 374 348 NA NA NA NA
1520892000.0 131.0 45 76 194 NA NA NA NA 85 148 254 NA NA NA NA 1115 274 268 NA NA NA NA 1168 284 281 NA NA NA NA
1520892000.0 1325.0 NA 164 256 0 68 NA NA NA 229 316 0 109 NA NA NA 753 1770 1941 165 NA NA NA 822 1920 2013 276 NA NA
1520892000.0 133.0 56 80 194 NA NA NA NA 102 148 254 NA NA NA NA 9449 506 742 NA NA NA NA 9879 603 798 NA NA NA NA
1520892000.0 134.701 NA 39 238 0 NA NA NA NA 84 306 0 NA NA NA NA 122 3249 326 NA NA NA NA 149 3371 369 NA NA NA
1520892000.0 134.702 NA 39 224 0 NA NA NA NA 82 299 0 NA NA NA NA 131 4564 332 NA NA NA NA 211 4890 351 NA NA NA
1520892000.0 134.703 NA 45 237 0 NA NA NA NA 86 313 0 NA NA NA NA 143 7601 567 NA NA NA NA 175 8345 604 NA NA NA
