Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1520373600.0 1.0 60 67 156 NA NA NA NA NA 183 223 346 NA NA NA NA NA 4277 746 1778 NA NA NA NA NA 5772 1260 2521 NA NA NA NA NA
1520373600.0 10.0 NA 98 234 0 NA NA NA NA NA 243 458 0 NA NA NA NA NA 3715 5399 1036 NA NA NA NA NA 5260 5690 1444 NA NA NA NA
1520373600.0 1000.0 NA 240 161 0 49 NA NA NA NA 461 327 0 147 NA NA NA NA 3090 1115 648 291 NA NA NA NA 3492 1536 715 459 NA NA NA
1520373600.0 10001.0 NA 85 289 73 0 NA NA NA NA 242 544 181 0 NA NA NA NA 400 1418 242 1113 NA NA NA NA 1750 2107 490 1350 NA NA NA
1520373600.0 10002.0 NA 84 215 64 0 NA NA NA NA 242 544 181 0 NA NA NA NA 406 1489 252 1093 NA NA NA NA 1918 2454 542 1258 NA NA NA
1520373600.0 10003.0 NA 89 229 69 0 NA NA NA NA 242 544 181 0 NA NA NA NA 439 1541 269 1076 NA NA NA NA 1715 3148 714 1308 NA NA NA
1520373600.0 10004.0 NA 88 286 69 0 NA NA NA NA 242 544 181 0 NA NA NA NA 402 1401 271 1073 NA NA NA NA 2409 2033 717 1198 NA NA NA
1520373600.0 10005.0 NA 87 285 64 0 NA NA NA NA 242 544 181 0 NA NA NA NA 417 1411 240 1080 NA NA NA NA 2123 2083 765 1308 NA NA NA
1520373600.0 10006.0 NA 86 211 64 0 NA NA NA NA 242 543 181 0 NA NA NA NA 414 1489 242 1066 NA NA NA NA 2131 2820 573 1141 NA NA NA
1520373600.0 10007.0 NA 87 191 64 0 NA NA NA NA 242 544 182 0 NA NA NA NA 423 1551 256 1086 NA NA NA NA 1668 2943 625 1301 NA NA NA
1520373600.0 10008.0 NA 90 297 64 0 NA NA NA NA 242 544 182 0 NA NA NA NA 420 1451 248 1068 NA NA NA NA 1796 2082 536 1139 NA NA NA
