Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1520892000.0 1010.0 NA 21 37 NA 131 148 NA 103 113 NA 664 696
1520892000.0 1020.0 NA 34 NA NA 165 NA NA 216 NA NA 984 NA
1520892000.0 1325.7 NA 92 0 NA 222 0 NA 1502 109 NA 3426 315
1520892000.0 1329.1 NA 99 0 NA 222 0 NA 1281 109 NA 1823 293
1520892000.0 135.8 82 NA NA 222 NA NA 409 NA NA 2327 NA NA
1520892000.0 136.7611 NA 142 0 NA 305 0 NA 2002 118 NA 2993 302
1520892000.0 136.7721 NA 135 0 NA 299 0 NA 1722 114 NA 2568 324
1520892000.0 136.7722 NA 95 0 NA 222 0 NA 958 110 NA 1605 296
1520892000.0 541.0 43 0 NA 148 0 NA 176 111 NA 884 661 NA
1520892000.0 545.0 43 0 NA 147 0 NA 196 110 NA 935 657 NA
1520892000.0 551.0 15 33 0 185 139 0 1021 182 110 3392 717 722
1520892000.0 552.0 15 33 0 185 138 0 1645 169 108 4517 654 531
1520892000.0 554.0 15 33 0 185 139 0 2841 180 110 6148 926 617
1520892000.0 555.0 15 34 0 185 139 0 1038 161 111 3977 857 641
1520892000.0 556.0 15 32 0 185 139 0 414 178 111 2049 957 589
1520892000.0 560.0 34 0 NA 136 0 NA 165 111 NA 883 656 NA
1520892000.0 561.0 34 0 NA 136 0 NA 175 110 NA 912 642 NA
1520892000.0 562.0 15 32 0 185 139 0 269 175 108 1080 867 556
