Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1519768800.0 1.0 100 86 168 NA NA NA NA 186 368 288 NA NA NA NA 3374 687 1491 NA NA NA NA 2886 1030 2994 NA NA NA NA
1519768800.0 10.0 NA 125 287 0 NA NA NA NA 377 389 0 NA NA NA NA 3104 4906 855 NA NA NA NA 2049 5020 1307 NA NA NA
1519768800.0 1000.0 NA 272 0 NA NA NA NA NA 372 0 NA NA NA NA NA 7272 0 NA NA NA NA NA 10404 0 NA NA NA NA
1519768800.0 10001.0 NA 109 324 67 0 NA NA NA 386 437 111 0 NA NA NA 1430 4241 733 2966 NA NA NA 2031 4924 944 3856 NA NA
1519768800.0 10002.0 NA 109 319 65 0 NA NA NA 386 440 111 0 NA NA NA 1212 3914 781 3504 NA NA NA 2221 6598 1021 3805 NA NA
1519768800.0 10003.0 NA 113 319 64 0 NA NA NA 386 446 111 0 NA NA NA 1215 3704 1080 2995 NA NA NA 1412 5272 1233 3946 NA NA
1519768800.0 10004.0 NA 109 317 72 0 NA NA NA 386 443 111 0 NA NA NA 1111 4253 718 2953 NA NA NA 1484 4916 1009 3596 NA NA
1519768800.0 10005.0 NA 111 323 65 0 NA NA NA 387 441 111 0 NA NA NA 1147 3818 796 2997 NA NA NA 1310 5582 923 3829 NA NA
1519768800.0 10006.0 NA 109 314 65 0 NA NA NA 379 443 111 0 NA NA NA 1391 3902 799 3183 NA NA NA 2093 4520 1367 3602 NA NA
1519768800.0 10007.0 NA 111 324 65 0 NA NA NA 386 442 112 0 NA NA NA 1432 4026 683 3465 NA NA NA 1925 7793 1205 3753 NA NA
1519768800.0 10008.0 NA 110 319 65 0 NA NA NA 386 451 111 0 NA NA NA 1441 3988 766 3240 NA NA NA 1665 4681 1005 3614 NA NA
1519768800.0 10009.0 NA 111 324 65 0 NA NA NA 386 443 111 0 NA NA NA 1497 4006 692 3005 NA NA NA 2058 4922 1014 3770 NA NA
1519768800.0 1001.0 NA 248 97 0 0 0 0 NA 336 146 0 0 0 0 NA 6132 977 157 181 940 294 NA 6518 1254 304 294 1061 426
1519768800.0 1002.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1519768800.0 10023.0 NA 109 319 64 0 NA NA NA 387 435 110 0 NA NA NA 1243 3689 788 3501 NA NA NA 2466 5458 1627 3793 NA NA
1519768800.0 10024.0 NA 122 339 66 0 NA NA NA 387 460 112 0 NA NA NA 1350 4431 580 3113 NA NA NA 2221 5921 1043 3793 NA NA
1519768800.0 10024.1 NA 125 179 0 NA NA NA NA 387 262 0 NA NA NA NA 1492 1940 839 NA NA NA NA 1437 2242 1081 NA NA NA
1519768800.0 10024.2 NA 119 333 0 NA NA NA NA 386 461 0 NA NA NA NA 1591 4633 3052 NA NA NA NA 1910 5970 3708 NA NA NA
1519768800.0 10024.3 NA 125 169 0 NA NA NA NA 387 256 0 NA NA NA NA 1625 1807 712 NA NA NA NA 1349 2501 918 NA NA NA
1519768800.0 10024.4 NA 120 344 0 NA NA NA NA 386 453 0 NA NA NA NA 1487 4662 2834 NA NA NA NA 2502 4593 3645 NA NA NA
1519768800.0 10024.5 NA 122 75 0 NA NA NA NA 386 170 0 NA NA NA NA 1549 857 277 NA NA NA NA 1097 1548 673 NA NA NA
1519768800.0 10025.0 NA 120 326 69 0 NA NA NA 378 457 111 0 NA NA NA 1225 4096 701 3255 NA NA NA 1393 6339 2255 3668 NA NA
1519768800.0 10026.0 NA 126 340 66 0 NA NA NA 386 463 113 0 NA NA NA 1593 5041 794 2879 NA NA NA 1961 7355 1652 3675 NA NA
1519768800.0 1003.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1519768800.0 1004.0 NA 215 86 0 0 NA NA NA 289 128 0 0 NA NA NA 2723 846 154 178 NA NA NA 7565 892 215 237 NA NA
1519768800.0 10042.0 NA 113 323 75 0 NA NA NA 379 445 112 0 NA NA NA 1516 4257 562 3113 NA NA NA 2079 4883 1140 3795 NA NA
1519768800.0 10059.0 NA 122 349 70 0 NA NA NA 386 468 112 0 NA NA NA 1586 5218 757 3101 NA NA NA 3130 6503 916 3937 NA NA
1519768800.0 10071.0 NA 122 330 72 0 NA NA NA 386 452 112 0 NA NA NA 1407 4444 766 3250 NA NA NA 1700 4980 871 3638 NA NA
1519768800.0 101.0 89 NA NA NA NA NA NA 154 NA NA NA NA NA NA 1016 NA NA NA NA NA NA 1461 NA NA NA NA NA NA
1519768800.0 1010.0 NA 25 39 0 NA NA NA NA 72 85 0 NA NA NA NA 268 430 343 NA NA NA NA 1220 2236 899 NA NA NA
1519768800.0 102.0 84 NA NA NA NA NA NA 152 NA NA NA NA NA NA 777 NA NA NA NA NA NA 966 NA NA NA NA NA NA
1519768800.0 1020.0 NA 45 NA NA NA NA NA NA 108 NA NA NA NA NA NA 757 NA NA NA NA NA NA 2960 NA NA NA NA NA
1519768800.0 10224.0 NA 265 590 0 NA NA NA NA 406 821 0 NA NA NA NA 5298 8788 3333 NA NA NA NA 5028 13058 3738 NA NA NA
1519768800.0 10225.0 NA 274 578 0 NA NA NA NA 419 770 0 NA NA NA NA 5105 8773 3727 NA NA NA NA 4792 6910 3984 NA NA NA
1519768800.0 103.0 44 0 0 NA NA NA NA 91 0 0 NA NA NA NA 772 337 1227 NA NA NA NA 1199 638 1820 NA NA NA NA
1519768800.0 1030.0 NA 168 48 0 NA NA NA NA 315 85 0 NA NA NA NA 18773 566 144 NA NA NA NA 6656 1103 390 NA NA NA
1519768800.0 10424.0 NA 115 337 0 NA NA NA NA 379 456 0 NA NA NA NA 809 2545 1196 NA NA NA NA 1362 4060 1484 NA NA NA
1519768800.0 105.0 100 85 31 NA NA NA NA 185 361 64 NA NA NA NA 1752 640 131 NA NA NA NA 1420 1264 272 NA NA NA NA
1519768800.0 106.0 44 0 0 NA NA NA NA 91 0 0 NA NA NA NA 972 250 1227 NA NA NA NA 1086 486 1759 NA NA NA NA
1519768800.0 107.0 100 95 262 NA NA NA NA 188 361 348 NA NA NA NA 3801 614 1522 NA NA NA NA 2607 567 1894 NA NA NA NA
1519768800.0 108.0 103 97 276 NA NA NA NA 185 368 361 NA NA NA NA 4145 671 1605 NA NA NA NA 2515 681 1844 NA NA NA NA
1519768800.0 10801.0 NA 224 349 73 0 NA NA NA 476 466 122 0 NA NA NA 1526 1930 691 1970 NA NA NA 2444 5005 1366 2414 NA NA
1519768800.0 10802.0 NA 224 350 73 0 NA NA NA 476 490 122 0 NA NA NA 1542 2129 730 2560 NA NA NA 1935 4826 1474 2870 NA NA
1519768800.0 10803.0 NA 214 353 74 0 NA NA NA 483 471 123 0 NA NA NA 1504 1991 902 1970 NA NA NA 2441 3728 2035 2311 NA NA
