Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1520028000.0 1.0 90 85 167 NA NA NA NA NA 186 368 280 NA NA NA NA NA 2478 718 1293 NA NA NA NA NA 2183 1046 3720 NA NA NA NA NA
1520028000.0 10.0 NA 125 276 0 NA NA NA NA NA 369 378 0 NA NA NA NA NA 2998 4009 692 NA NA NA NA NA 1801 3024 909 NA NA NA NA
1520028000.0 1000.0 NA 270 159 0 53 NA NA NA NA 364 250 0 89 NA NA NA NA 2934 1409 665 344 NA NA NA NA 3161 1709 869 568 NA NA NA
1520028000.0 10001.0 NA 113 327 65 0 NA NA NA NA 379 443 110 0 NA NA NA NA 616 1862 300 1204 NA NA NA NA 1261 2704 997 1354 NA NA NA
1520028000.0 10002.0 NA 110 324 64 0 NA NA NA NA 379 442 111 0 NA NA NA NA 549 1841 799 1200 NA NA NA NA 836 2839 1076 1428 NA NA NA
1520028000.0 10003.0 NA 109 326 65 0 NA NA NA NA 387 454 111 0 NA NA NA NA 712 1885 678 1186 NA NA NA NA 1382 2597 1504 1436 NA NA NA
1520028000.0 10004.0 NA 104 328 74 0 NA NA NA NA 386 472 110 0 NA NA NA NA 625 1899 278 1174 NA NA NA NA 1315 3215 407 1290 NA NA NA
1520028000.0 10005.0 NA 108 290 69 0 NA NA NA NA 387 453 110 0 NA NA NA NA 639 1917 388 1204 NA NA NA NA 977 3309 438 1760 NA NA NA
1520028000.0 10006.0 NA 117 321 65 0 NA NA NA NA 387 438 111 0 NA NA NA NA 569 1806 446 1210 NA NA NA NA 959 2888 752 1370 NA NA NA
1520028000.0 10007.0 NA 112 330 75 0 NA NA NA NA 387 449 111 0 NA NA NA NA 583 1907 351 1209 NA NA NA NA 741 3264 443 1381 NA NA NA
1520028000.0 10008.0 NA 112 326 74 0 NA NA NA NA 387 454 111 0 NA NA NA NA 552 1863 283 1222 NA NA NA NA 787 3461 495 1397 NA NA NA
1520028000.0 10009.0 NA 109 327 75 0 NA NA NA NA 379 439 112 0 NA NA NA NA 640 1923 279 1189 NA NA NA NA 930 2617 414 1304 NA NA NA
1520028000.0 1001.0 NA 239 108 0 0 0 0 0 NA 323 158 0 0 0 0 0 NA 2624 659 94 127 297 161 290 NA 2781 784 246 205 445 274 377
1520028000.0 1002.0 NA 278 70 NA NA NA NA NA NA 373 122 NA NA NA NA NA NA 3575 464 NA NA NA NA NA NA 5379 566 NA NA NA NA NA
1520028000.0 10023.0 NA 110 320 65 0 NA NA NA NA 387 454 111 0 NA NA NA NA 628 1834 640 1191 NA NA NA NA 1126 3502 1425 1421 NA NA NA
1520028000.0 10024.0 NA 122 349 66 0 NA NA NA NA 387 465 112 0 NA NA NA NA 732 2145 372 1237 NA NA NA NA 944 2545 822 1408 NA NA NA
1520028000.0 10024.1 NA 127 182 0 NA NA NA NA NA 379 268 0 NA NA NA NA NA 662 902 329 NA NA NA NA NA 724 1135 379 NA NA NA NA
1520028000.0 10024.2 NA 123 342 0 NA NA NA NA NA 387 469 0 NA NA NA NA NA 711 2162 1189 NA NA NA NA NA 995 3274 1311 NA NA NA NA
1520028000.0 10024.3 NA 127 172 0 NA NA NA NA NA 379 254 0 NA NA NA NA NA 655 883 293 NA NA NA NA NA 741 1276 346 NA NA NA NA
1520028000.0 10024.4 NA 126 341 0 NA NA NA NA NA 380 465 0 NA NA NA NA NA 647 2145 1177 NA NA NA NA NA 749 3166 1296 NA NA NA NA
