Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1520722800.0 126.0 72 89 251 NA 148 369 347 NA 1531 418 1227 NA 793 340 1289 NA
1520722800.0 127.0 66 95 251 NA 133 361 354 NA 1468 414 1223 NA 1442 396 1286 NA
1520722800.0 136.779 NA 73 336 0 NA 136 455 0 NA 1271 18713 905 NA 692 12562 964
1520722800.0 136.78 NA 86 372 0 NA 143 554 0 NA 996 25411 1268 NA 1003 14367 1307
1520722800.0 136.7803 NA 95 NA NA NA 155 NA NA NA 1004 NA NA NA 1761 NA NA
1520722800.0 136.782 NA 77 378 0 NA 142 588 0 NA 1255 29546 1296 NA 995 15601 1354
1520722800.0 136.783 NA 88 403 0 NA 143 646 0 NA 730 33385 1321 NA 735 17324 1357
1520722800.0 136.785 NA 87 399 0 NA 136 609 0 NA 927 29657 1243 NA 753 15610 1296
1520722800.0 136.786 NA 84 382 0 NA 141 591 0 NA 722 28719 1452 NA 709 16445 1533
1520722800.0 136.787 NA 78 395 0 NA 140 628 0 NA 730 26593 1241 NA 605 14914 1289
1520722800.0 136.788 NA 84 415 0 NA 140 677 0 NA 823 32120 1298 NA 984 17203 1339
1520722800.0 136.789 NA 87 375 0 NA 140 567 0 NA 757 24475 1264 NA 908 13672 1317
1520722800.0 136.794 NA 81 380 0 NA 149 556 0 NA 1082 21703 1334 NA 1311 10235 1371
1520722800.0 136.797 NA 89 383 0 NA 147 557 0 NA 909 23234 1262 NA 1367 12294 1295
1520722800.0 136.798 NA 77 370 0 NA 139 538 0 NA 767 21685 1835 NA 1068 11976 2290
1520722800.0 136.799 NA 80 399 0 NA 146 604 0 NA 1005 20840 1347 NA 1280 11764 1398
1520722800.0 136.8 NA 79 419 0 NA 145 630 0 NA 723 24081 1326 NA 1020 12738 1360
1520722800.0 136.802 NA 79 368 0 NA 142 543 0 NA 995 19874 1383 NA 898 10964 1446
1520722800.0 136.803 NA 92 304 0 NA 145 407 0 NA 1116 3652 1163 NA 1198 3649 1197
1520722800.0 136.804 NA 79 378 0 NA 147 533 0 NA 784 20059 1357 NA 1236 11992 1390
1520722800.0 136.805 NA 80 397 0 NA 145 585 0 NA 1138 22745 1408 NA 997 12268 1473
1520722800.0 136.806 NA 88 369 0 NA 140 534 0 NA 1101 20819 1749 NA 1455 11300 2195
1520722800.0 136.807 NA 79 394 0 NA 140 584 0 NA 885 23446 1385 NA 1141 12353 1435
1520722800.0 136.809 NA 79 379 0 NA 144 553 0 NA 1146 21875 1353 NA 1322 12095 1409
1520722800.0 136.811 NA 88 390 0 NA 140 580 0 NA 872 20759 1453 NA 839 11646 1498
1520722800.0 136.812 NA 81 419 0 NA 145 641 0 NA 778 25532 1579 NA 529 14649 1682
1520722800.0 136.816 NA 84 402 0 NA 143 627 0 NA 846 30540 1457 NA 1318 14767 1521
1520722800.0 136.817 NA 77 399 0 NA 142 649 0 NA 862 30065 1407 NA 624 16045 1449
1520722800.0 136.818 NA 87 400 0 NA 145 581 0 NA 1057 30855 1490 NA 1044 16707 1558
1520722800.0 136.819 NA 84 416 0 NA 143 651 0 NA 804 33278 1367 NA 1318 16284 1414
1520722800.0 136.82 NA 83 424 0 NA 148 669 0 NA 956 33567 1529 NA 1318 16387 1639
1520722800.0 136.821 NA 89 400 0 NA 139 575 0 NA 735 30498 1319 NA 697 16389 1364
1520722800.0 136.822 NA 88 399 0 NA 140 571 0 NA 673 29947 1383 NA 686 16229 1433
1520722800.0 136.824 NA 83 442 0 NA 143 697 0 NA 1159 37382 1388 NA 1318 17853 1427
1520722800.0 136.825 NA 88 384 0 NA 143 560 0 NA 837 19999 1307 NA 1059 11275 1393
1520722800.0 136.826 NA 87 392 0 NA 143 601 0 NA 1113 31211 1425 NA 1134 17159 1464
1520722800.0 136.828 NA 87 399 0 NA 144 620 0 NA 967 32321 1326 NA 1139 17152 1371
1520722800.0 136.829 NA 84 419 0 NA 143 626 0 NA 748 32610 1454 NA 1318 16924 1513
1520722800.0 136.83 NA 85 408 0 NA 144 571 0 NA 941 32009 1505 NA 773 16804 1559
1520722800.0 136.831 NA 83 422 0 NA 140 656 0 NA 1232 32685 1347 NA 1318 15715 1390
1520722800.0 136.832 NA 85 439 0 NA 144 716 0 NA 844 38069 1565 NA 1318 17812 1669
1520722800.0 136.833 NA 84 410 0 NA 147 620 0 NA 1205 31939 1435 NA 1318 15319 1471
1520722800.0 136.836 NA 83 436 0 NA 143 732 0 NA 1223 33114 1561 NA 1318 16164 1878
1520722800.0 136.837 NA 81 389 0 NA 145 584 0 NA 1244 24565 1617 NA 1088 14150 1709
1520722800.0 136.838 NA 87 395 0 NA 145 601 0 NA 1220 31406 1492 NA 1267 17637 1545
1520722800.0 136.839 NA 90 307 0 NA 151 419 0 NA 1032 3984 1183 NA 825 4846 1225
1520722800.0 136.84 NA 88 404 0 NA 145 597 0 NA 867 25009 1432 NA 878 14357 1475
1520722800.0 136.841 NA 86 396 0 NA 146 585 0 NA 740 26965 1856 NA 522 14869 2231
1520722800.0 136.842 NA 84 428 0 NA 143 634 0 NA 1202 34983 1405 NA 1318 16632 1443
1520722800.0 136.843 NA 83 422 0 NA 144 687 0 NA 1177 38764 1299 NA 1318 17685 1355
1520722800.0 144.6 NA 267 NA NA NA 370 NA NA NA 3740 NA NA NA 4327 NA NA
1520722800.0 148.0 102 150 384 0 158 392 525 0 11265 1595 4481 1298 18193 1527 5195 1339
1520722800.0 149.0 60 107 319 0 112 380 474 0 2200 713 2435 1225 2167 551 5098 1280
1520722800.0 158.0 70 117 330 0 117 380 457 0 5552 1243 2223 1243 6191 1533 2078 1278
1520722800.0 4000.0 NA 133 284 NA NA 369 396 NA NA 2322 3644 NA NA 1279 2245 NA
