Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1520632800.0 1.0 93 97 181 NA NA NA NA NA 199 381 279 NA NA NA NA NA 2066 628 2243 NA NA NA NA NA 2340 989 2802 NA NA NA NA NA
1520632800.0 10.0 NA 131 291 0 NA NA NA NA NA 390 411 0 NA NA NA NA NA 2537 4893 1140 NA NA NA NA NA 2793 4928 1632 NA NA NA NA
1520632800.0 1000.0 NA 273 159 0 53 NA NA NA NA 381 261 0 102 NA NA NA NA 4071 2565 899 817 NA NA NA NA 4342 5684 1101 1014 NA NA NA
1520632800.0 10001.0 NA 117 334 68 0 NA NA NA NA 400 465 125 0 NA NA NA NA 864 3582 1453 2276 NA NA NA NA 845 4053 1997 2483 NA NA NA
1520632800.0 10002.0 NA 119 303 68 0 NA NA NA NA 400 464 125 0 NA NA NA NA 888 4212 1437 2282 NA NA NA NA 1255 5951 1954 2551 NA NA NA
1520632800.0 10003.0 NA 122 338 76 0 NA NA NA NA 400 463 125 0 NA NA NA NA 803 4113 1272 2310 NA NA NA NA 982 7864 2098 2512 NA NA NA
1520632800.0 10004.0 NA 116 333 71 0 NA NA NA NA 400 458 125 0 NA NA NA NA 822 3762 1364 2236 NA NA NA NA 905 4341 1587 2456 NA NA NA
1520632800.0 10005.0 NA 124 336 69 0 NA NA NA NA 400 461 124 0 NA NA NA NA 912 3645 1359 2276 NA NA NA NA 1001 7508 2772 2448 NA NA NA
1520632800.0 10006.0 NA 120 329 69 0 NA NA NA NA 392 465 124 0 NA NA NA NA 881 4101 1244 2353 NA NA NA NA 1232 4873 1484 2543 NA NA NA
1520632800.0 10007.0 NA 112 306 81 0 NA NA NA NA 400 467 124 0 NA NA NA NA 957 4234 1236 2278 NA NA NA NA 2153 6055 1431 2499 NA NA NA
1520632800.0 10008.0 NA 115 275 68 0 NA NA NA NA 400 481 124 0 NA NA NA NA 950 4317 1497 2420 NA NA NA NA 2183 5597 1882 2678 NA NA NA
1520632800.0 10009.0 NA 117 336 69 0 NA NA NA NA 400 465 125 0 NA NA NA NA 872 4091 1406 2382 NA NA NA NA 942 6614 2191 2589 NA NA NA
1520632800.0 1001.0 NA 246 115 0 0 0 0 0 NA 333 172 0 0 0 0 0 NA 3715 1311 153 225 775 462 736 NA 3799 1769 414 479 1011 811 846
1520632800.0 1002.0 NA 282 77 NA NA NA NA NA NA 394 135 NA NA NA NA NA NA 4520 1178 NA NA NA NA NA NA 5471 1236 NA NA NA NA NA
1520632800.0 10023.0 NA 120 330 71 0 NA NA NA NA 392 466 124 0 NA NA NA NA 788 4070 1245 2352 NA NA NA NA 1123 6388 1975 2602 NA NA NA
1520632800.0 10024.0 NA 124 282 81 0 NA NA NA NA 401 501 127 0 NA NA NA NA 1053 4705 1431 2595 NA NA NA NA 2161 5691 2556 2855 NA NA NA
1520632800.0 10024.1 NA 140 190 0 NA NA NA NA NA 400 300 0 NA NA NA NA NA 1000 1811 1225 NA NA NA NA NA 1115 2060 1360 NA NA NA NA
