Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1520892000.0 10024.0 NA 140 355 77 0 NA 393 473 126 0 NA 707 3397 1042 1982 NA 604 3426 1141 2051
1520892000.0 10024.4 NA 129 345 0 NA NA 401 466 0 NA NA 761 3339 1866 NA NA 731 3198 1965 NA
1520892000.0 10026.0 NA 145 359 76 0 NA 401 488 127 0 NA 747 3741 1091 1896 NA 640 3435 1148 1962
1520892000.0 10042.0 NA 121 341 81 0 NA 401 458 126 0 NA 676 3188 990 1917 NA 583 3164 1063 2001
1520892000.0 10059.0 NA 138 355 75 0 NA 400 497 126 0 NA 785 3829 1063 1922 NA 625 3440 1095 2010
1520892000.0 10071.0 NA 137 353 70 0 NA 400 497 126 0 NA 707 3296 1112 1925 NA 554 3237 1142 1988
1520892000.0 126.0 73 103 255 NA NA 156 381 364 NA NA 1689 597 2828 NA NA 840 499 2885 NA NA
1520892000.0 127.0 75 95 261 NA NA 131 381 356 NA NA 1613 586 2895 NA NA 985 510 3089 NA NA
1520892000.0 128.0 65 93 250 NA NA 128 381 354 NA NA 1098 600 2810 NA NA 678 521 2887 NA NA
1520892000.0 129.0 73 94 249 NA NA 129 381 354 NA NA 1072 579 2787 NA NA 690 508 2871 NA NA
1520892000.0 130.0 69 102 261 NA NA 138 381 374 NA NA 1149 582 2795 NA NA 677 511 2894 NA NA
1520892000.0 131.0 76 102 257 NA NA 150 374 362 NA NA 1793 602 2824 NA NA 964 580 2856 NA NA
1520892000.0 132.0 104 99 269 NA NA 201 381 377 NA NA 3618 648 2950 NA NA 1582 529 2960 NA NA
1520892000.0 133.0 118 113 270 NA NA 205 374 373 NA NA 5085 686 3057 NA NA 1886 525 3213 NA NA
1520892000.0 1332.0 NA 128 327 0 NA NA 392 440 0 NA NA 670 3155 1407 NA NA 547 3193 1478 NA
1520892000.0 1333.0 NA 117 322 0 NA NA 400 433 0 NA NA 648 3042 1346 NA NA 555 3015 1416 NA
1520892000.0 135.1 333 0 115 NA NA 513 0 194 NA NA 2300 634 1814 NA NA 2612 692 1861 NA NA
1520892000.0 135.11 306 0 116 NA NA 513 0 194 NA NA 2485 657 1852 NA NA 2721 719 1858 NA NA
1520892000.0 135.12 321 0 117 NA NA 512 0 192 NA NA 2162 625 1759 NA NA 2226 678 1811 NA NA
1520892000.0 135.2 245 0 113 NA NA 512 0 191 NA NA 2035 482 1747 NA NA 1988 538 1815 NA NA
1520892000.0 135.3 250 0 114 NA NA 512 0 190 NA NA 2011 478 1757 NA NA 2002 535 1829 NA NA
1520892000.0 135.4 317 0 113 NA NA 520 0 190 NA NA 2078 570 1793 NA NA 1942 625 1916 NA NA
1520892000.0 135.5 325 0 115 NA NA 512 0 191 NA NA 2063 582 1756 NA NA 1930 639 1825 NA NA
1520892000.0 135.6 322 0 115 NA NA 520 0 195 NA NA 2227 625 1841 NA NA 2111 691 2019 NA NA
1520892000.0 135.7 324 0 118 NA NA 515 0 192 NA NA 2080 606 1786 NA NA 1923 659 1855 NA NA
1520892000.0 135.9 315 0 112 NA NA 513 0 192 NA NA 2038 541 1742 NA NA 2223 599 1808 NA NA
1520892000.0 250204.0 NA 278 NA NA NA NA 482 NA NA NA NA 20325 NA NA NA NA 9912 NA NA NA
1520892000.0 4000.0 NA 138 295 NA NA NA 390 388 NA NA NA 2770 5545 NA NA NA 1562 3608 NA NA
1520892000.0 4001.0 NA 170 352 NA NA NA 400 477 NA NA NA 1116 3796 NA NA NA 828 3310 NA NA
1520892000.0 4002.0 NA 141 288 NA NA NA 382 391 NA NA NA 2253 4018 NA NA NA 1083 3141 NA NA
1520892000.0 4003.0 NA 131 289 NA NA NA 382 381 NA NA NA 2244 4274 NA NA NA 1040 3260 NA NA
1520892000.0 4006.0 70 180 371 NA NA 147 391 473 NA NA 1828 1172 3706 NA NA 1634 945 3631 NA NA
1520892000.0 4007.0 66 117 288 NA NA 132 398 418 NA NA 1961 729 2924 NA NA 1344 657 3014 NA NA
1520892000.0 4008.0 61 110 274 NA NA 127 390 390 NA NA 1452 696 2824 NA NA 895 645 2940 NA NA
