Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1519682400.0 1.0 97 96 180 NA NA NA NA 194 360 275 NA NA NA NA 2241 700 2165 NA NA NA NA 2192 672 2669 NA NA NA NA
1519682400.0 10.0 NA 123 287 0 NA NA NA NA 368 394 0 NA NA NA NA 3211 5174 1048 NA NA NA NA 3626 5937 1328 NA NA NA
1519682400.0 1000.0 NA 276 160 0 46 NA NA NA 380 260 0 100 NA NA NA 4212 2650 959 872 NA NA NA 3980 4568 1164 1299 NA NA
1519682400.0 10001.0 NA 105 310 71 0 NA NA NA 379 435 123 0 NA NA NA 722 3036 1111 1713 NA NA NA 1109 3952 1613 1886 NA NA
1519682400.0 10002.0 NA 113 268 70 0 NA NA NA 378 456 123 0 NA NA NA 716 3110 1137 1721 NA NA NA 920 4758 1513 1894 NA NA
1519682400.0 10003.0 NA 116 286 69 0 NA NA NA 378 452 122 0 NA NA NA 734 3137 1018 1730 NA NA NA 948 4557 1297 1870 NA NA
1519682400.0 10004.0 NA 106 312 76 0 NA NA NA 379 444 122 0 NA NA NA 730 3027 1437 1717 NA NA NA 1081 4224 2048 1867 NA NA
1519682400.0 10005.0 NA 111 284 65 0 NA NA NA 379 446 122 0 NA NA NA 689 3064 1028 1707 NA NA NA 997 4011 1911 1867 NA NA
1519682400.0 10006.0 NA 112 306 64 0 NA NA NA 379 448 122 0 NA NA NA 711 3016 1227 1725 NA NA NA 896 3946 1353 1889 NA NA
1519682400.0 10007.0 NA 110 311 65 0 NA NA NA 378 444 123 0 NA NA NA 704 3080 1018 1749 NA NA NA 984 3860 1203 1929 NA NA
1519682400.0 10008.0 NA 110 306 65 0 NA NA NA 378 451 123 0 NA NA NA 697 3101 1245 1756 NA NA NA 852 3965 2661 1901 NA NA
1519682400.0 10009.0 NA 108 314 65 0 NA NA NA 379 484 123 0 NA NA NA 751 3161 1025 1778 NA NA NA 1329 4701 1418 1930 NA NA
1519682400.0 1001.0 NA 245 98 0 0 0 0 NA 351 157 0 0 0 0 NA 3632 1161 145 147 826 494 NA 3934 2253 454 429 1223 719
1519682400.0 1002.0 NA 282 67 NA NA NA NA NA 373 133 NA NA NA NA NA 5243 1275 NA NA NA NA NA 6526 1401 NA NA NA NA
1519682400.0 10023.0 NA 106 304 70 0 NA NA NA 379 449 122 0 NA NA NA 721 3033 1118 1806 NA NA NA 1074 3619 1241 2126 NA NA
1519682400.0 10024.0 NA 114 301 73 0 NA NA NA 374 460 124 0 NA NA NA 840 3363 1045 1938 NA NA NA 1017 4296 1256 2133 NA NA
1519682400.0 10024.1 NA 119 181 0 NA NA NA NA 379 274 0 NA NA NA NA 802 1400 951 NA NA NA NA 1880 1936 1050 NA NA NA
1519682400.0 10024.2 NA 130 329 0 NA NA NA NA 379 456 0 NA NA NA NA 737 3352 1893 NA NA NA NA 755 4631 2110 NA NA NA
1519682400.0 10024.3 NA 135 173 0 NA NA NA NA 379 279 0 NA NA NA NA 715 1377 840 NA NA NA NA 723 2364 941 NA NA NA
1519682400.0 10024.4 NA 127 331 0 NA NA NA NA 379 458 0 NA NA NA NA 787 3334 1871 NA NA NA NA 1552 5071 2014 NA NA NA
1519682400.0 10024.5 NA 126 86 0 NA NA NA NA 379 175 0 NA NA NA NA 734 759 219 NA NA NA NA 771 1187 311 NA NA NA
1519682400.0 10025.0 NA 111 308 70 0 NA NA NA 379 454 123 0 NA NA NA 771 3167 1128 1868 NA NA NA 964 4084 1690 2064 NA NA
1519682400.0 10026.0 NA 123 291 66 0 NA NA NA 379 467 124 0 NA NA NA 861 3700 1234 1928 NA NA NA 1132 3912 1359 2105 NA NA
1519682400.0 1003.0 NA 245 0 NA NA NA NA NA 336 0 NA NA NA NA NA 4349 710 NA NA NA NA NA 3153 794 NA NA NA NA
1519682400.0 1004.0 NA 218 75 0 0 NA NA NA 309 138 0 0 NA NA NA 2028 863 142 141 NA NA NA 2882 5180 242 234 NA NA
1519682400.0 10042.0 NA 119 318 69 0 NA NA NA 379 451 124 0 NA NA NA 766 3148 1030 1908 NA NA NA 1203 3716 1381 2180 NA NA
1519682400.0 10059.0 NA 127 288 66 0 NA NA NA 379 467 124 0 NA NA NA 822 3866 1366 1920 NA NA NA 863 3900 1790 2107 NA NA
1519682400.0 10071.0 NA 124 330 69 0 NA NA NA 379 459 124 0 NA NA NA 731 3325 1327 1932 NA NA NA 820 4579 2598 2683 NA NA
1519682400.0 101.0 81 NA NA NA NA NA NA 164 NA NA NA NA NA NA 1479 NA NA NA NA NA NA 1922 NA NA NA NA NA NA
1519682400.0 1010.0 NA 29 44 0 NA NA NA NA 83 97 0 NA NA NA NA 208 263 261 NA NA NA NA 414 336 331 NA NA NA
1519682400.0 102.0 92 NA NA NA NA NA NA 163 NA NA NA NA NA NA 1246 NA NA NA NA NA NA 1734 NA NA NA NA NA NA
1519682400.0 1020.0 NA 44 NA NA NA NA NA NA 119 NA NA NA NA NA NA 425 NA NA NA NA NA NA 666 NA NA NA NA NA
