Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1519984800.0 1.0 60 79 149 NA NA NA NA NA 112 134 215 NA NA NA NA NA 2761 919 1970 NA NA NA NA NA 3866 1683 2971 NA NA NA NA NA
1519984800.0 10.0 NA 105 222 0 NA NA NA NA NA 154 297 0 NA NA NA NA NA 1980 2630 488 NA NA NA NA NA 2275 3069 581 NA NA NA NA
1519984800.0 1000.0 NA 243 150 0 51 NA NA NA NA 318 232 0 83 NA NA NA NA 2319 1066 596 258 NA NA NA NA 2593 1467 708 477 NA NA NA
1519984800.0 10001.0 NA 179 301 73 0 NA NA NA NA 237 391 113 0 NA NA NA NA 1129 1365 304 1708 NA NA NA NA 1482 1692 451 1890 NA NA NA
1519984800.0 10002.0 NA 173 293 73 0 NA NA NA NA 238 391 113 0 NA NA NA NA 1067 1516 308 1692 NA NA NA NA 1461 2156 466 1837 NA NA NA
1519984800.0 10003.0 NA 157 294 73 0 NA NA NA NA 239 391 113 0 NA NA NA NA 1188 1440 313 1690 NA NA NA NA 1733 1821 509 1824 NA NA NA
1519984800.0 10004.0 NA 179 300 72 0 NA NA NA NA 236 391 113 0 NA NA NA NA 1121 1461 308 1663 NA NA NA NA 1519 2044 533 1836 NA NA NA
1519984800.0 10005.0 NA 156 300 75 0 NA NA NA NA 236 391 113 0 NA NA NA NA 1053 1355 305 1688 NA NA NA NA 1361 1707 465 1840 NA NA NA
1519984800.0 10006.0 NA 178 299 73 0 NA NA NA NA 236 391 113 0 NA NA NA NA 1094 1425 304 1688 NA NA NA NA 1530 1938 495 1806 NA NA NA
1519984800.0 10007.0 NA 155 294 83 0 NA NA NA NA 237 391 126 0 NA NA NA NA 1076 1523 326 1673 NA NA NA NA 1303 2104 487 1823 NA NA NA
