Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1520330400.0 1.0 60 77 143 NA NA NA NA 112 134 215 NA NA NA NA 2000 426 954 NA NA NA NA 2592 584 1521 NA NA NA NA
1520330400.0 10.0 NA 98 232 0 NA NA NA NA 154 297 0 NA NA NA NA 2264 3697 740 NA NA NA NA 2655 4267 961 NA NA NA
1520330400.0 1000.0 NA 245 152 0 46 NA NA NA 318 232 0 83 NA NA NA 3142 1344 844 332 NA NA NA 3469 1740 991 479 NA NA
1520330400.0 10001.0 NA 180 292 81 0 NA NA NA 237 391 113 0 NA NA NA 1047 1340 415 1588 NA NA NA 1309 1586 826 1746 NA NA
1520330400.0 10002.0 NA 174 301 72 0 NA NA NA 238 391 113 0 NA NA NA 1097 1354 292 1585 NA NA NA 1387 1563 409 1754 NA NA
1520330400.0 10003.0 NA 158 298 82 0 NA NA NA 239 391 113 0 NA NA NA 1090 1389 417 1596 NA NA NA 1345 1675 834 1745 NA NA
1520330400.0 10004.0 NA 154 290 78 0 NA NA NA 236 391 113 0 NA NA NA 1053 1349 298 1583 NA NA NA 1382 1723 484 1710 NA NA
1520330400.0 10005.0 NA 153 299 80 0 NA NA NA 236 391 113 0 NA NA NA 1062 1464 311 1588 NA NA NA 1332 2042 468 1780 NA NA
1520330400.0 10006.0 NA 165 291 82 0 NA NA NA 236 391 113 0 NA NA NA 1056 1333 301 1583 NA NA NA 1271 1586 484 1732 NA NA
1520330400.0 10007.0 NA 155 300 91 0 NA NA NA 237 391 126 0 NA NA NA 1077 1365 325 1596 NA NA NA 1490 1584 487 1736 NA NA
1520330400.0 10008.0 NA 172 301 87 0 NA NA NA 238 391 125 0 NA NA NA 1090 1428 318 1801 NA NA NA 1383 1725 445 1932 NA NA
1520330400.0 10009.0 NA 173 294 91 0 NA NA NA 238 391 125 0 NA NA NA 1090 1380 316 1595 NA NA NA 1332 1599 433 1726 NA NA
1520330400.0 1002.0 NA 228 68 NA NA NA NA NA 293 117 NA NA NA NA NA 3383 387 NA NA NA NA NA 3890 463 NA NA NA NA
1520330400.0 10023.0 NA 156 302 74 0 NA NA NA 237 391 113 0 NA NA NA 1056 1461 297 1592 NA NA NA 1323 2036 453 1762 NA NA
1520330400.0 10024.0 NA 171 313 93 0 NA NA NA 253 394 128 0 NA NA NA 1233 1582 325 1645 NA NA NA 1674 1798 444 1834 NA NA
1520330400.0 10024.1 NA 185 169 0 NA NA NA NA 253 210 0 NA NA NA NA 1851 1105 422 NA NA NA NA 2309 1605 558 NA NA NA
1520330400.0 10024.2 NA 186 312 0 NA NA NA NA 253 392 0 NA NA NA NA 1576 2277 2536 NA NA NA NA 1959 2605 3464 NA NA NA
1520330400.0 10024.3 NA 186 155 0 NA NA NA NA 253 204 0 NA NA NA NA 1612 966 366 NA NA NA NA 1873 1328 568 NA NA NA
1520330400.0 10024.4 NA 173 305 0 NA NA NA NA 253 394 0 NA NA NA NA 1530 2242 2591 NA NA NA NA 1879 2585 2921 NA NA NA
1520330400.0 10024.5 NA 186 161 0 NA NA NA NA 253 210 0 NA NA NA NA 1794 1019 415 NA NA NA NA 2482 1328 552 NA NA NA
1520330400.0 10024.6 NA 184 301 0 NA NA NA NA 253 392 0 NA NA NA NA 1570 2293 2427 NA NA NA NA 1899 2670 2756 NA NA NA
1520330400.0 10025.0 NA 182 303 83 0 NA NA NA 245 392 113 0 NA NA NA 1874 2179 508 2544 NA NA NA 2491 2944 865 2808 NA NA
1520330400.0 10026.0 NA 177 318 93 0 NA NA NA 256 394 124 0 NA NA NA 2095 2656 490 2529 NA NA NA 3045 3240 681 2773 NA NA
1520330400.0 1003.0 NA 199 0 NA NA NA NA NA 262 0 NA NA NA NA NA 3739 644 NA NA NA NA NA 4209 790 NA NA NA NA
1520330400.0 1004.0 NA 173 103 0 0 0 0 NA 234 136 0 0 0 0 NA 1095 403 104 144 336 335 NA 1697 684 193 208 398 423
1520330400.0 10042.0 NA 182 300 83 0 NA NA NA 245 392 127 0 NA NA NA 1442 2151 487 2499 NA NA NA 1809 2473 644 2762 NA NA
1520330400.0 10059.0 NA 174 312 84 0 NA NA NA 259 394 124 0 NA NA NA 2144 3185 465 2730 NA NA NA 2874 3904 673 7862 NA NA
1520330400.0 10071.0 NA 166 306 83 0 NA NA NA 246 392 114 0 NA NA NA 1808 2269 458 2001 NA NA NA 2240 2685 691 2592 NA NA
1520330400.0 101.0 86 NA NA NA NA NA NA 148 NA NA NA NA NA NA 1144 NA NA NA NA NA NA 1303 NA NA NA NA NA NA
1520330400.0 1010.0 NA 26 35 0 NA NA NA NA 68 79 0 NA NA NA NA 150 218 210 NA NA NA NA 443 407 334 NA NA NA
1520330400.0 102.0 83 NA NA NA NA NA NA 148 NA NA NA NA NA NA 977 NA NA NA NA NA NA 1115 NA NA NA NA NA NA
1520330400.0 1020.0 NA 40 NA NA NA NA NA NA 100 NA NA NA NA NA NA 311 NA NA NA NA NA NA 531 NA NA NA NA NA
1520330400.0 10224.0 NA 238 396 0 NA NA NA NA 337 500 0 NA NA NA NA 4938 4684 2455 NA NA NA NA 6089 5886 2803 NA NA NA
1520330400.0 10225.0 NA 253 402 0 NA NA NA NA 339 506 0 NA NA NA NA 5044 5499 2409 NA NA NA NA 6175 6977 2727 NA NA NA
1520330400.0 103.0 43 0 0 NA NA NA NA 85 0 0 NA NA NA NA 564 215 1324 NA NA NA NA 808 358 1740 NA NA NA NA
1520330400.0 1030.0 NA 136 40 0 NA NA NA NA 233 79 0 NA NA NA NA 12222 282 95 NA NA NA NA 13234 438 514 NA NA NA
1520330400.0 10424.0 NA 189 315 0 NA NA NA NA 254 393 0 NA NA NA NA 1565 2206 2517 NA NA NA NA 1968 2575 3257 NA NA NA
1520330400.0 105.0 59 73 27 NA NA NA NA 112 135 60 NA NA NA NA 2050 474 141 NA NA NA NA 2373 646 281 NA NA NA NA
1520330400.0 106.0 43 0 0 NA NA NA NA 85 0 0 NA NA NA NA 548 223 1309 NA NA NA NA 859 382 1663 NA NA NA NA
1520330400.0 107.0 62 73 213 NA NA NA NA 113 135 278 NA NA NA NA 3416 453 1732 NA NA NA NA 3970 611 2128 NA NA NA NA
1520330400.0 108.0 65 83 215 NA NA NA NA 115 135 280 NA NA NA NA 5513 484 1868 NA NA NA NA 6005 655 2247 NA NA NA NA
1520330400.0 10823.0 52 154 302 82 0 NA NA 97 227 391 113 0 NA NA 1158 1343 1939 440 2668 NA NA 1421 1635 2265 572 7870 NA NA
1520330400.0 10824.0 56 184 304 87 0 NA NA 101 237 392 127 0 NA NA 5158 1984 2294 499 2485 NA NA 5651 2574 2612 706 2857 NA NA
1520330400.0 10825.0 55 165 305 82 0 NA NA 100 234 392 113 0 NA NA 4125 1704 2102 436 2659 NA NA 4732 2117 2435 611 2967 NA NA
1520330400.0 10826.0 62 172 311 84 0 NA NA 103 239 392 124 0 NA NA 6814 2033 2782 470 2725 NA NA 7652 2522 3259 662 7974 NA NA
