Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1520722800.0 1010.0 NA 23 36 0 NA NA 67 79 0 NA NA 149 236 222 NA NA 373 352 300 NA
1520722800.0 1020.0 NA 36 NA NA NA NA 100 NA NA NA NA 329 NA NA NA NA 506 NA NA NA
1520722800.0 1301.0 59 79 157 NA NA 104 143 234 NA NA 1052 649 1483 NA NA 1273 800 1771 NA NA
1520722800.0 1302.0 61 80 165 NA NA 108 144 237 NA NA 5689 670 1609 NA NA 6701 814 1822 NA NA
1520722800.0 1307.0 NA 80 126 38 0 NA 150 191 78 0 NA 553 701 206 344 NA 754 840 280 420
1520722800.0 1308.0 NA 78 124 39 0 NA 150 190 77 0 NA 512 638 202 356 NA 641 789 288 429
1520722800.0 1325.6 NA 78 NA NA NA NA 136 NA NA NA NA 1708 NA NA NA NA 2863 NA NA NA
1520722800.0 1325.7 NA 80 0 NA NA NA 134 0 NA NA NA 1781 180 NA NA NA 2935 295 NA NA
1520722800.0 1325.8 NA 86 0 NA NA NA 138 0 NA NA NA 1681 180 NA NA NA 1892 244 NA NA
1520722800.0 1329.1 NA 87 0 NA NA NA 134 0 NA NA NA 1716 175 NA NA NA 1989 220 NA NA
1520722800.0 135.8 82 NA NA NA NA 141 NA NA NA NA 451 NA NA NA NA 619 NA NA NA NA
1520722800.0 551.0 16 39 0 NA NA 133 72 0 NA NA 1348 251 177 NA NA 1850 511 264 NA NA
1520722800.0 552.0 16 35 0 NA NA 133 72 0 NA NA 2428 261 188 NA NA 3508 383 293 NA NA
1520722800.0 554.0 16 38 0 NA NA 133 71 0 NA NA 4381 253 178 NA NA 5562 334 315 NA NA
1520722800.0 555.0 16 31 0 NA NA 133 72 0 NA NA 1341 236 180 NA NA 2263 333 267 NA NA
1520722800.0 556.0 16 39 0 NA NA 133 72 0 NA NA 572 269 180 NA NA 1590 397 282 NA NA
1520722800.0 560.0 34 0 NA NA NA 69 0 NA NA NA 258 185 NA NA NA 377 294 NA NA NA
1520722800.0 561.0 38 0 NA NA NA 70 0 NA NA NA 239 181 NA NA NA 500 272 NA NA NA
1520722800.0 562.0 16 32 0 NA NA 133 72 0 NA NA 394 258 180 NA NA 922 367 268 NA NA
