Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1520503200.0 1.0 61 69 154 NA NA NA NA NA 112 134 231 NA NA NA NA NA 2007 560 1334 NA NA NA NA NA 2246 923 1831 NA NA NA NA NA
1520503200.0 10.0 NA 104 228 0 NA NA NA NA NA 153 313 0 NA NA NA NA NA 3632 5945 1057 NA NA NA NA NA 4626 6789 1318 NA NA NA NA
1520503200.0 1000.0 NA 231 149 0 51 NA NA NA NA 318 235 0 83 NA NA NA NA 2184 1030 548 233 NA NA NA NA 2461 1479 684 356 NA NA NA
1520503200.0 10001.0 NA 153 307 73 0 NA NA NA NA 237 406 113 0 NA NA NA NA 2808 4459 735 4746 NA NA NA NA 4212 5862 1164 5330 NA NA NA
1520503200.0 10002.0 NA 174 304 73 0 NA NA NA NA 238 406 113 0 NA NA NA NA 2878 4241 746 4731 NA NA NA NA 3930 4945 1290 5358 NA NA NA
1520503200.0 10003.0 NA 157 305 82 0 NA NA NA NA 239 406 113 0 NA NA NA NA 2833 4336 752 4731 NA NA NA NA 3632 5384 1153 5340 NA NA NA
1520503200.0 10004.0 NA 156 303 73 0 NA NA NA NA 236 406 113 0 NA NA NA NA 2778 4151 817 4730 NA NA NA NA 4244 5094 1453 5471 NA NA NA
1520503200.0 10005.0 NA 154 296 72 0 NA NA NA NA 236 406 113 0 NA NA NA NA 2790 4066 734 4767 NA NA NA NA 3965 5186 1126 5403 NA NA NA
1520503200.0 10006.0 NA 171 300 82 0 NA NA NA NA 236 406 113 0 NA NA NA NA 2804 4479 716 4802 NA NA NA NA 3386 5266 1261 5503 NA NA NA
1520503200.0 10007.0 NA 154 306 82 0 NA NA NA NA 237 406 126 0 NA NA NA NA 2854 4330 811 4742 NA NA NA NA 3877 5463 1254 5494 NA NA NA
1520503200.0 10008.0 NA 170 304 90 0 NA NA NA NA 238 406 125 0 NA NA NA NA 2899 4585 795 5068 NA NA NA NA 3551 5383 1339 5809 NA NA NA
1520503200.0 10009.0 NA 154 297 82 0 NA NA NA NA 238 406 125 0 NA NA NA NA 2994 4339 866 4779 NA NA NA NA 5256 5109 1521 5417 NA NA NA
1520503200.0 1001.0 NA 207 117 0 0 0 0 0 NA 266 151 0 0 0 0 0 NA 1866 405 65 94 219 107 209 NA 2167 538 124 159 299 176 253
1520503200.0 1002.0 NA 234 68 NA NA NA NA NA NA 308 117 NA NA NA NA NA NA 2398 305 NA NA NA NA NA NA 2757 402 NA NA NA NA NA
