Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1520892000.0 1010.0 NA 29 35 0 NA 67 79 0 NA 149 204 191 NA 340 372 336
1520892000.0 1020.0 NA 41 NA NA NA 100 NA NA NA 294 NA NA NA 583 NA NA
1520892000.0 1030.0 NA 136 41 0 NA 245 78 0 NA 11451 273 90 NA 12935 444 489
1520892000.0 1325.6 NA 84 NA NA NA 137 NA NA NA 2023 NA NA NA 2509 NA NA
1520892000.0 1325.7 NA 83 0 NA NA 134 0 NA NA 2066 171 NA NA 3563 316 NA
1520892000.0 135.8 82 NA NA NA 141 NA NA NA 415 NA NA NA 894 NA NA NA
1520892000.0 4000.0 NA 98 230 NA NA 150 310 NA NA 4010 6088 NA NA 4866 7101 NA
1520892000.0 4003.0 NA 103 228 NA NA 152 311 NA NA 3293 4240 NA NA 4202 5352 NA
1520892000.0 552.0 16 37 0 NA 133 72 0 NA 2166 253 177 NA 2735 472 371 NA
1520892000.0 554.0 16 39 0 NA 133 71 0 NA 3470 240 170 NA 4129 390 365 NA
1520892000.0 555.0 16 38 0 NA 133 71 0 NA 1303 225 170 NA 2283 418 341 NA
1520892000.0 556.0 16 39 0 NA 133 72 0 NA 572 263 191 NA 1020 520 455 NA
1520892000.0 560.0 38 0 NA NA 69 0 NA NA 236 171 NA NA 478 313 NA NA
1520892000.0 561.0 35 0 NA NA 69 0 NA NA 243 170 NA NA 411 343 NA NA
1520892000.0 562.0 16 39 0 NA 133 72 0 NA 371 230 167 NA 888 395 318 NA
