Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1520935200.0 1.0 59 77 153 NA NA NA NA 112 134 232 NA NA NA NA 1341 353 835 NA NA NA NA 1528 460 1007 NA NA NA NA
1520935200.0 10002.0 NA 155 299 73 0 NA NA NA 238 406 113 0 NA NA NA 1118 1605 328 1754 NA NA NA 1397 1893 491 1978 NA NA
1520935200.0 10004.0 NA 153 295 73 0 NA NA NA 236 406 113 0 NA NA NA 1104 1602 328 1720 NA NA NA 1436 1961 482 1836 NA NA
1520935200.0 10005.0 NA 159 294 79 0 NA NA NA 236 406 113 0 NA NA NA 1133 1598 384 1738 NA NA NA 1378 1914 722 1869 NA NA
1520935200.0 10024.0 NA 190 299 90 0 NA NA NA 253 409 128 0 NA NA NA 1290 1866 352 1772 NA NA NA 1780 2307 532 1886 NA NA
1520935200.0 1003.0 NA 199 0 NA NA NA NA NA 262 0 NA NA NA NA NA 2855 471 NA NA NA NA NA 3400 599 NA NA NA NA
1520935200.0 1004.0 NA 174 93 0 0 0 0 NA 235 136 0 0 0 0 NA 855 348 75 115 283 254 NA 1559 1107 193 235 388 331
1520935200.0 1010.0 NA 29 39 0 NA NA NA NA 68 79 0 NA NA NA NA 111 161 149 NA NA NA NA 278 406 365 NA NA NA
1520935200.0 1020.0 NA 42 NA NA NA NA NA NA 100 NA NA NA NA NA NA 226 NA NA NA NA NA NA 416 NA NA NA NA NA
1520935200.0 1030.0 NA 139 47 0 NA NA NA NA 240 78 0 NA NA NA NA 9399 232 72 NA NA NA NA 10406 398 319 NA NA NA
1520935200.0 118.0 66 74 223 NA NA NA NA 116 135 297 NA NA NA NA 3626 396 1501 NA NA NA NA 3906 572 2031 NA NA NA NA
1520935200.0 119.0 61 69 220 NA NA NA NA 113 135 293 NA NA NA NA 2237 386 1278 NA NA NA NA 2965 582 1560 NA NA NA NA
1520935200.0 1301.0 58 86 170 NA NA NA NA 105 144 249 NA NA NA NA 761 473 1200 NA NA NA NA 961 652 1600 NA NA NA NA
1520935200.0 1302.0 60 81 166 NA NA NA NA 108 144 253 NA NA NA NA 3628 621 1407 NA NA NA NA 4200 1091 1811 NA NA NA NA
1520935200.0 1303.0 60 80 168 NA NA NA NA 109 144 254 NA NA NA NA 6129 373 1396 NA NA NA NA 6873 585 1729 NA NA NA NA
1520935200.0 1307.0 NA 77 118 43 0 NA NA NA 150 191 78 0 NA NA NA 431 579 147 239 NA NA NA 874 837 564 382 NA NA
1520935200.0 1308.0 NA 83 116 44 0 NA NA NA 150 190 78 0 NA NA NA 381 446 146 237 NA NA NA 555 671 278 390 NA NA
1520935200.0 1311.0 NA 86 229 0 57 NA NA NA 152 295 0 98 NA NA NA 505 1036 657 232 NA NA NA 1039 1382 1182 456 NA NA
1520935200.0 1312.0 NA 89 258 0 NA NA NA NA 152 335 0 NA NA NA NA 485 1711 637 NA NA NA NA 729 2161 736 NA NA NA
1520935200.0 1314.0 NA 87 257 0 NA NA NA NA 152 335 0 NA NA NA NA 532 1610 656 NA NA NA NA 765 2048 791 NA NA NA
1520935200.0 132.0 62 75 225 NA NA NA NA 111 134 299 NA NA NA NA 2878 391 1489 NA NA NA NA 3084 659 1968 NA NA NA NA
1520935200.0 1321.0 NA 82 253 0 NA NA NA NA 151 331 0 NA NA NA NA 429 1533 620 NA NA NA NA 625 2008 735 NA NA NA
1520935200.0 1324.0 NA 88 258 0 NA NA NA NA 152 336 0 NA NA NA NA 487 1713 671 NA NA NA NA 694 2190 790 NA NA NA
1520935200.0 1325.0 NA 98 259 0 63 NA NA NA 152 339 0 105 NA NA NA 507 1678 653 257 NA NA NA 833 2079 776 506 NA NA
1520935200.0 1325.1 NA 98 135 0 NA NA NA NA 152 182 0 NA NA NA NA 506 706 290 NA NA NA NA 689 1036 383 NA NA NA
1520935200.0 1325.3 NA 88 129 0 NA NA NA NA 152 177 0 NA NA NA NA 543 667 304 NA NA NA NA 777 1036 426 NA NA NA
1520935200.0 1325.5 NA 136 0 NA NA NA NA NA 204 0 NA NA NA NA NA 1951 144 NA NA NA NA NA 2415 240 NA NA NA NA
1520935200.0 1325.51 NA 126 0 NA NA NA NA NA 191 0 NA NA NA NA NA 1462 148 NA NA NA NA NA 1859 277 NA NA NA NA
1520935200.0 1325.6 NA 87 NA NA NA NA NA NA 137 NA NA NA NA NA NA 1620 NA NA NA NA NA NA 3017 NA NA NA NA NA
1520935200.0 1325.7 NA 85 0 NA NA NA NA NA 135 0 NA NA NA NA NA 1599 132 NA NA NA NA NA 2041 265 NA NA NA NA
1520935200.0 1325.8 NA 90 0 NA NA NA NA NA 139 0 NA NA NA NA NA 1591 134 NA NA NA NA NA 1769 251 NA NA NA NA
1520935200.0 1329.1 NA 92 0 NA NA NA NA NA 135 0 NA NA NA NA NA 1369 130 NA NA NA NA NA 1597 235 NA NA NA NA
1520935200.0 133.0 66 81 225 NA NA NA NA 117 135 299 NA NA NA NA 4299 416 1691 NA NA NA NA 4717 590 2217 NA NA NA NA
1520935200.0 134.0 NA 228 40 0 NA NA NA NA 309 72 0 NA NA NA NA 2842 114 64 NA NA NA NA 3466 206 140 NA NA NA
1520935200.0 135.1 199 0 104 NA NA NA NA 259 0 153 NA NA NA NA 992 269 572 NA NA NA NA 1273 394 806 NA NA NA NA
1520935200.0 135.11 198 0 96 NA NA NA NA 267 0 154 NA NA NA NA 1335 271 1011 NA NA NA NA 1626 429 1238 NA NA NA NA
1520935200.0 135.12 204 0 97 NA NA NA NA 258 0 153 NA NA NA NA 912 264 573 NA NA NA NA 1300 406 833 NA NA NA NA
