Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1520978400.0 1.0 60 71 154 NA NA 112 134 232 NA NA 1394 337 831 NA NA 1563 456 1095 NA NA
1520978400.0 10001.0 NA 154 298 83 0 NA 237 406 113 0 NA 1313 1802 370 2019 NA 1752 2127 580 2225
1520978400.0 10002.0 NA 153 309 78 0 NA 238 406 113 0 NA 1333 1778 360 2017 NA 1753 2076 576 2197
1520978400.0 10003.0 NA 178 308 76 0 NA 239 406 114 0 NA 1203 1806 373 2003 NA 1453 2223 543 2199
1520978400.0 10004.0 NA 167 299 73 0 NA 236 406 113 0 NA 1225 1790 371 1993 NA 1450 2164 614 2206
1520978400.0 10005.0 NA 153 294 78 0 NA 236 406 113 0 NA 1259 1823 364 1939 NA 1579 2212 523 2081
1520978400.0 10007.0 NA 154 299 92 0 NA 237 406 126 0 NA 1346 1752 412 2027 NA 1768 2019 614 2189
1520978400.0 10009.0 NA 157 307 82 0 NA 238 406 125 0 NA 1274 1845 389 2021 NA 1486 2180 638 2207
1520978400.0 10024.0 NA 179 312 85 0 NA 253 409 128 0 NA 1445 2077 416 2078 NA 2172 2508 643 2249
1520978400.0 1003.0 NA 202 0 NA NA NA 262 0 NA NA NA 2838 514 NA NA NA 3257 724 NA NA
1520978400.0 1010.0 NA 29 39 0 NA NA 68 79 0 NA NA 132 172 166 NA NA 477 575 394 NA
1520978400.0 1020.0 NA 36 NA NA NA NA 100 NA NA NA NA 254 NA NA NA NA 549 NA NA NA
1520978400.0 1030.0 NA 136 46 0 NA NA 244 78 0 NA NA 8998 242 82 NA NA 10703 424 317 NA
1520978400.0 118.0 64 75 223 NA NA 116 135 297 NA NA 4098 444 1643 NA NA 4470 653 1957 NA NA
1520978400.0 119.0 60 69 218 NA NA 113 135 293 NA NA 2564 408 1552 NA NA 3786 639 2162 NA NA
1520978400.0 1301.0 58 90 161 NA NA 104 144 249 NA NA 730 523 1278 NA NA 1064 797 1854 NA NA
1520978400.0 1302.0 61 85 173 NA NA 108 144 253 NA NA 3337 515 1463 NA NA 4169 714 2236 NA NA
1520978400.0 1307.0 NA 82 127 46 0 NA 150 191 78 0 NA 484 602 169 273 NA 1141 1075 329 708
1520978400.0 1308.0 NA 87 124 41 0 NA 150 190 78 0 NA 451 515 164 265 NA 672 759 275 424
1520978400.0 132.0 60 75 222 NA NA 111 134 299 NA NA 3286 422 1701 NA NA 3638 689 2051 NA NA
1520978400.0 1325.6 NA 81 NA NA NA NA 137 NA NA NA NA 1592 NA NA NA NA 3012 NA NA NA
1520978400.0 1325.7 NA 85 0 NA NA NA 135 0 NA NA NA 1581 155 NA NA NA 1931 306 NA NA
1520978400.0 1329.1 NA 88 0 NA NA NA 135 0 NA NA NA 1394 144 NA NA NA 1673 253 NA NA
1520978400.0 133.0 65 76 225 NA NA 117 135 299 NA NA 4899 441 1891 NA NA 5565 602 2234 NA NA
1520978400.0 134.0 NA 233 41 0 NA NA 309 72 0 NA NA 3122 137 79 NA NA 3770 280 181 NA
1520978400.0 135.12 193 0 99 NA NA 258 0 152 NA NA 1014 291 627 NA NA 1556 411 874 NA NA
1520978400.0 135.7 190 0 97 NA NA 256 0 152 NA NA 976 292 628 NA NA 1455 468 1059 NA NA
1520978400.0 135.8 82 NA NA NA NA 141 NA NA NA NA 353 NA NA NA NA 612 NA NA NA NA
1520978400.0 136.7611 NA 142 0 NA NA NA 210 0 NA NA NA 6162 350 NA NA NA 7987 1010 NA NA
1520978400.0 136.7721 NA 139 0 NA NA NA 203 0 NA NA NA 5320 344 NA NA NA 7100 759 NA NA
1520978400.0 136.7722 NA 87 0 NA NA NA 136 0 NA NA NA 2236 336 NA NA NA 2944 805 NA NA
1520978400.0 136.778 NA 70 253 0 NA NA 121 331 0 NA NA 1231 16175 1975 NA NA 2133 19495 2523 NA
1520978400.0 136.7801 NA 91 0 NA NA NA 143 0 NA NA NA 911 484 NA NA NA 1841 883 NA NA
