Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1520118000.0 1.0 265 267 501 NA NA 2097290 2097270 2097360 NA NA 3272 998 2555 NA NA 40525 1119 3180 NA NA
1520118000.0 10.0 NA 313 NA NA NA NA 2097300 NA NA NA NA 5966 NA NA NA NA 6223 NA NA NA
1520118000.0 1000.0 NA 602 434 0 246 NA 2097400 2097340 0 2097240 NA 7936 2767 1903 656 NA 8595 3492 2024 846
1520118000.0 1001.0 NA 566 NA NA NA NA 2097380 NA NA NA NA 6933 NA NA NA NA 7566 NA NA NA
1520118000.0 1002.0 NA 637 233 NA NA NA 2097420 2097270 NA NA NA 8497 570 NA NA NA 9291 645 NA NA
1520118000.0 10024.5 NA 318 311 0 NA NA 2097290 2097280 0 NA NA 1133 597 200 NA NA 1233 838 245 NA
1520118000.0 1003.0 NA 568 0 NA NA NA 2097390 0 NA NA NA 10180 1450 NA NA NA 10649 1578 NA NA
1520118000.0 1004.0 NA 480 NA NA NA NA 2097380 NA NA NA NA 2016 NA NA NA NA 2422 NA NA NA
1520118000.0 101.0 356 NA NA NA NA 2097320 NA NA NA NA 2221 NA NA NA NA 2425 NA NA NA NA
1520118000.0 1010.0 NA 151 182 NA NA NA 2097240 2097240 NA NA NA 252 331 NA NA NA 384 428 NA NA
1520118000.0 102.0 349 NA NA NA NA 2097320 NA NA NA NA 1779 NA NA NA NA 1885 NA NA NA NA
1520118000.0 1020.0 NA 234 NA NA NA NA 2097270 NA NA NA NA 480 NA NA NA NA 655 NA NA NA
1520118000.0 10225.0 NA 378 0 NA NA NA 2097320 0 NA NA NA 5339 0 NA NA NA 5759 0 NA NA
1520118000.0 1030.0 NA 449 200 0 NA NA 2097350 2097240 0 NA NA 44460 447 155 NA NA 45352 509 427 NA
1520118000.0 105.0 272 292 149 NA NA 2097290 2097270 2097230 NA NA 2830 985 188 NA NA 3135 1178 239 NA NA
1520118000.0 11.0 NA 292 606 0 244 NA 2097280 2097410 0 2097250 NA 5645 4047 1842 528 NA 7199 11545 2184 626
1520118000.0 1102.0 NA 308 661 427 268 NA 2097290 2097440 2097310 2097240 NA 6461 14417 5688 576 NA 7101 15442 6049 636
1520118000.0 11024.0 NA 751 0 NA NA NA 2097390 0 NA NA NA 16516 0 NA NA NA 16944 0 NA NA
1520118000.0 11024.6 NA 741 0 NA NA NA 2097390 0 NA NA NA 18176 0 NA NA NA 18630 0 NA NA
1520118000.0 1301.0 283 286 547 NA NA 2097260 2097270 2097380 NA NA 1520 1033 2328 NA NA 1708 1176 2819 NA NA
1520118000.0 1302.0 294 298 552 NA NA 2097270 2097270 2097370 NA NA 5610 1222 2917 NA NA 6112 1512 3325 NA NA
1520118000.0 1303.0 284 280 601 NA NA 2097270 2097270 2097370 NA NA 9755 974 3562 NA NA 10206 1213 3905 NA NA
1520118000.0 1306.0 NA 295 681 0 NA NA 2097280 2097430 0 NA NA 1021 3008 1589 NA NA 1199 3312 1688 NA
1520118000.0 1307.0 NA 292 439 186 0 NA 2097280 2097320 2097240 0 NA 1151 1523 292 635 NA 1304 1766 385 710
1520118000.0 1308.0 NA 273 415 185 0 NA 2097280 2097330 2097250 0 NA 1043 1147 314 738 NA 1240 1426 386 846
1520118000.0 1309.0 NA 291 696 0 NA NA 2097290 2097430 0 NA NA 1227 4107 1566 NA NA 1406 4504 1669 NA
1520118000.0 1310.0 NA 288 688 0 NA NA 2097290 2097430 0 NA NA 1128 3541 1573 NA NA 1343 3854 1667 NA
1520118000.0 1311.0 NA 290 608 0 254 NA 2097280 2097400 0 2097250 NA 1076 2256 1749 440 NA 1257 2614 1860 579
1520118000.0 1312.0 NA 300 725 0 NA NA 2097280 2097430 0 NA NA 1278 3896 1579 NA NA 1449 4212 1698 NA
1520118000.0 1313.0 NA 325 732 0 NA NA 2097280 2097430 0 NA NA 1082 6120 1551 NA NA 1260 6749 1659 NA
