Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1520118000.0 1.0 345 502 1039 NA NA 13054900 13054900 13055000 NA NA 9981 3573 4891 NA NA 10566 3847 5633 NA NA
1520118000.0 10.0 NA 653 NA NA NA NA 13054900 NA NA NA NA 21512 NA NA NA NA 21948 NA NA NA
1520118000.0 10001.0 NA 586 NA NA NA NA 13054900 NA NA NA NA 3438 NA NA NA NA 3578 NA NA NA
1520118000.0 10002.0 NA 591 NA NA NA NA 13054900 NA NA NA NA 3382 NA NA NA NA 3517 NA NA NA
1520118000.0 10003.0 NA 589 NA NA NA NA 13054900 NA NA NA NA 3393 NA NA NA NA 3563 NA NA NA
1520118000.0 10004.0 NA 364 NA NA NA NA 13054900 NA NA NA NA 3605 NA NA NA NA 3970 NA NA NA
1520118000.0 10005.0 NA 589 NA NA NA NA 13054900 NA NA NA NA 3325 NA NA NA NA 3459 NA NA NA
1520118000.0 10006.0 NA 598 NA NA NA NA 13054900 NA NA NA NA 3371 NA NA NA NA 3504 NA NA NA
1520118000.0 10007.0 NA 601 NA NA NA NA 13054900 NA NA NA NA 3614 NA NA NA NA 3749 NA NA NA
1520118000.0 10008.0 NA 592 NA NA NA NA 13054900 NA NA NA NA 3552 NA NA NA NA 3665 NA NA NA
1520118000.0 10009.0 NA 592 NA NA NA NA 13054900 NA NA NA NA 3735 NA NA NA NA 3859 NA NA NA
1520118000.0 1002.0 NA 1356 NA NA NA NA 13055000 NA NA NA NA 24732 NA NA NA NA 26953 NA NA NA
1520118000.0 10023.0 NA 592 NA NA NA NA 13054900 NA NA NA NA 3424 NA NA NA NA 3564 NA NA NA
1520118000.0 10024.0 NA 620 NA NA NA NA 13054900 NA NA NA NA 4050 NA NA NA NA 4166 NA NA NA
1520118000.0 10024.1 NA 612 NA NA NA NA 13054900 NA NA NA NA 4153 NA NA NA NA 4367 NA NA NA
1520118000.0 10024.2 NA 622 NA NA NA NA 13054900 NA NA NA NA 4001 NA NA NA NA 4152 NA NA NA
1520118000.0 10024.3 NA 626 NA NA NA NA 13054900 NA NA NA NA 4077 NA NA NA NA 4283 NA NA NA
1520118000.0 10024.4 NA 607 NA NA NA NA 13054900 NA NA NA NA 4159 NA NA NA NA 4390 NA NA NA
1520118000.0 10024.5 NA 631 NA NA NA NA 13054900 NA NA NA NA 3951 NA NA NA NA 4066 NA NA NA
1520118000.0 10025.0 NA 596 NA NA NA NA 13054900 NA NA NA NA 3635 NA NA NA NA 3760 NA NA NA
1520118000.0 10026.0 NA 657 NA NA NA NA 13054900 NA NA NA NA 4195 NA NA NA NA 4306 NA NA NA
1520118000.0 1004.0 NA 823 NA NA NA NA 13055000 NA NA NA NA 5655 NA NA NA NA 7978 NA NA NA
1520118000.0 10042.0 NA 618 NA NA NA NA 13054900 NA NA NA NA 3636 NA NA NA NA 3763 NA NA NA
1520118000.0 10059.0 NA 657 NA NA NA NA 13054900 NA NA NA NA 4562 NA NA NA NA 4695 NA NA NA
1520118000.0 10071.0 NA 611 NA NA NA NA 13054900 NA NA NA NA 3890 NA NA NA NA 3998 NA NA NA
1520118000.0 1010.0 NA 234 NA NA NA NA 13054900 NA NA NA NA 417 NA NA NA NA 500 NA NA NA
1520118000.0 1020.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1520118000.0 10224.0 NA 920 NA NA NA NA 13055000 NA NA NA NA 15267 NA NA NA NA 16059 NA NA NA
1520118000.0 10225.0 NA 902 NA NA NA NA 13055000 NA NA NA NA 15023 NA NA NA NA 15444 NA NA NA
1520118000.0 10801.0 NA 836 NA NA NA NA 13055000 NA NA NA NA 10028 NA NA NA NA 10449 NA NA NA
1520118000.0 10802.0 NA 988 NA NA NA NA 13055000 NA NA NA NA 9914 NA NA NA NA 10439 NA NA NA
1520118000.0 10803.0 NA 986 NA NA NA NA 13055000 NA NA NA NA 10125 NA NA NA NA 10446 NA NA NA
1520118000.0 10804.0 NA 998 NA NA NA NA 13055000 NA NA NA NA 9770 NA NA NA NA 10115 NA NA NA
1520118000.0 10805.0 NA 989 NA NA NA NA 13055000 NA NA NA NA 9873 NA NA NA NA 10410 NA NA NA
1520118000.0 10806.0 NA 1015 NA NA NA NA 13055000 NA NA NA NA 9633 NA NA NA NA 10020 NA NA NA
1520118000.0 10807.0 NA 998 NA NA NA NA 13055000 NA NA NA NA 10212 NA NA NA NA 10594 NA NA NA
1520118000.0 10808.0 NA 965 NA NA NA NA 13055000 NA NA NA NA 10470 NA NA NA NA 10720 NA NA NA
1520118000.0 10809.0 NA 963 NA NA NA NA 13055000 NA NA NA NA 10390 NA NA NA NA 10922 NA NA NA
1520118000.0 10823.0 NA 917 NA NA NA NA 13055000 NA NA NA NA 9864 NA NA NA NA 10305 NA NA NA
1520118000.0 10824.0 NA 972 NA NA NA NA 13055000 NA NA NA NA 11802 NA NA NA NA 12709 NA NA NA
1520118000.0 10824.1 NA 963 NA NA NA NA 13055000 NA NA NA NA 11709 NA NA NA NA 12295 NA NA NA
1520118000.0 10824.6 NA 1087 NA NA NA NA 13055000 NA NA NA NA 11567 NA NA NA NA 12156 NA NA NA
1520118000.0 10825.0 NA 919 NA NA NA NA 13055000 NA NA NA NA 10354 NA NA NA NA 10903 NA NA NA
1520118000.0 10826.0 NA 1017 NA NA NA NA 13055000 NA NA NA NA 12295 NA NA NA NA 12762 NA NA NA
1520118000.0 10842.0 NA 1073 NA NA NA NA 13055000 NA NA NA NA 10554 NA NA NA NA 10992 NA NA NA
1520118000.0 10859.0 NA 778 NA NA NA NA 13055000 NA NA NA NA 14242 NA NA NA NA 15396 NA NA NA
1520118000.0 10871.0 NA 921 NA NA NA NA 13055000 NA NA NA NA 12326 NA NA NA NA 13077 NA NA NA
1520118000.0 11.0 NA 609 NA NA NA NA 13054900 NA NA NA NA 19696 NA NA NA NA 19830 NA NA NA
1520118000.0 1102.0 NA 622 NA NA NA NA 13054900 NA NA NA NA 24059 NA NA NA NA 26172 NA NA NA
1520118000.0 11224.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1520118000.0 11224.6 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1520118000.0 11624.0 392 610 NA NA NA 13054900 13054900 NA NA NA 11822 7561 NA NA NA 12092 7649 NA NA NA
1520118000.0 11625.0 382 603 NA NA NA 13054900 13054900 NA NA NA 8747 7351 NA NA NA 9007 7439 NA NA NA
1520118000.0 11626.0 406 632 NA NA NA 13054900 13054900 NA NA NA 19730 7754 NA NA NA 19830 7848 NA NA NA
1520118000.0 11642.0 385 603 NA NA NA 13054900 13054900 NA NA NA 4085 6278 NA NA NA 4338 6365 NA NA NA
1520118000.0 126.0 372 499 1269 NA NA 13054900 13054900 13055000 NA NA 3887 3214 6418 NA NA 3994 3309 7061 NA NA
1520118000.0 127.0 368 475 1371 NA NA 13054900 13054900 13055000 NA NA 3719 3450 6026 NA NA 3991 3635 6647 NA NA
1520118000.0 128.0 344 457 1372 NA NA 13054900 13054900 13055000 NA NA 1947 3459 5661 NA NA 2330 3563 6141 NA NA
1520118000.0 129.0 347 456 1051 NA NA 13054900 13054900 13055000 NA NA 1874 3495 6122 NA NA 2019 3593 7264 NA NA
1520118000.0 130.0 360 474 1371 NA NA 13054900 13054900 13055000 NA NA 2032 3478 5814 NA NA 2130 3622 6419 NA NA
1520118000.0 1301.0 319 545 1177 NA NA 13054900 13054900 13055000 NA NA 2900 3491 4591 NA NA 3965 3760 4778 NA NA
1520118000.0 1302.0 271 444 1196 NA NA 13054900 13054900 13055000 NA NA 12218 4140 6572 NA NA 14629 5773 6809 NA NA
1520118000.0 1303.0 162 555 1210 NA NA 13054900 13054900 13055000 NA NA 22556 2824 12027 NA NA 25624 2921 12308 NA NA
1520118000.0 1306.0 NA 550 NA NA NA NA 13054900 NA NA NA NA 3491 NA NA NA NA 3687 NA NA NA
1520118000.0 1307.0 NA 562 NA NA NA NA 13054900 NA NA NA NA 3593 NA NA NA NA 3689 NA NA NA
1520118000.0 1308.0 NA 548 NA NA NA NA 13054900 NA NA NA NA 3279 NA NA NA NA 3471 NA NA NA
1520118000.0 1309.0 NA 610 NA NA NA NA 13054900 NA NA NA NA 3745 NA NA NA NA 3859 NA NA NA
1520118000.0 131.0 362 492 1371 NA NA 13054900 13054900 13055000 NA NA 3332 3411 5898 NA NA 3548 3500 6386 NA NA
1520118000.0 1310.0 NA 593 NA NA NA NA 13054900 NA NA NA NA 3732 NA NA NA NA 3862 NA NA NA
1520118000.0 1311.0 NA 567 NA NA NA NA 13054900 NA NA NA NA 3486 NA NA NA NA 3600 NA NA NA
1520118000.0 1312.0 NA 617 NA NA NA NA 13054900 NA NA NA NA 3819 NA NA NA NA 3948 NA NA NA
1520118000.0 1313.0 NA 590 NA NA NA NA 13054900 NA NA NA NA 3120 NA NA NA NA 3616 NA NA NA
1520118000.0 1314.0 NA 571 NA NA NA NA 13054900 NA NA NA NA 3858 NA NA NA NA 4072 NA NA NA
1520118000.0 1315.0 NA 577 NA NA NA NA 13054900 NA NA NA NA 3162 NA NA NA NA 3280 NA NA NA
1520118000.0 1316.0 NA 577 NA NA NA NA 13054900 NA NA NA NA 3468 NA NA NA NA 3667 NA NA NA
