Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1519768800.0 1.0 62 74 NA NA NA NA NA 113 109 NA NA NA NA NA 3478 758 NA NA NA NA NA 4069 937 NA NA NA NA NA
1519768800.0 10.0 NA 101 NA NA NA NA NA NA 176 NA NA NA NA NA NA 4865 NA NA NA NA NA NA 5789 NA NA NA NA NA
1519768800.0 10001.0 NA 100 NA NA NA NA NA NA 165 NA NA NA NA NA NA 868 NA NA NA NA NA NA 1755 NA NA NA NA NA
1519768800.0 10002.0 NA 100 NA NA NA NA NA NA 165 NA NA NA NA NA NA 852 NA NA NA NA NA NA 1429 NA NA NA NA NA
1519768800.0 10003.0 NA 104 NA NA NA NA NA NA 168 NA NA NA NA NA NA 828 NA NA NA NA NA NA 1403 NA NA NA NA NA
1519768800.0 10004.0 NA 102 NA NA NA NA NA NA 165 NA NA NA NA NA NA 806 NA NA NA NA NA NA 1438 NA NA NA NA NA
1519768800.0 10005.0 NA 101 NA NA NA NA NA NA 165 NA NA NA NA NA NA 851 NA NA NA NA NA NA 1553 NA NA NA NA NA
1519768800.0 10006.0 NA 102 NA NA NA NA NA NA 167 NA NA NA NA NA NA 814 NA NA NA NA NA NA 1389 NA NA NA NA NA
1519768800.0 10007.0 NA 103 NA NA NA NA NA NA 168 NA NA NA NA NA NA 916 NA NA NA NA NA NA 1481 NA NA NA NA NA
1519768800.0 10008.0 NA 104 NA NA NA NA NA NA 168 NA NA NA NA NA NA 929 NA NA NA NA NA NA 1816 NA NA NA NA NA
1519768800.0 10009.0 NA 103 NA NA NA NA NA NA 168 NA NA NA NA NA NA 865 NA NA NA NA NA NA 1449 NA NA NA NA NA
1519768800.0 10023.0 NA 101 NA NA NA NA NA NA 165 NA NA NA NA NA NA 829 NA NA NA NA NA NA 1401 NA NA NA NA NA
1519768800.0 10024.0 NA 108 NA NA NA NA NA NA 171 NA NA NA NA NA NA 1093 NA NA NA NA NA NA 1682 NA NA NA NA NA
1519768800.0 10024.1 NA 99 NA NA NA NA NA NA 172 NA NA NA NA NA NA 1140 NA NA NA NA NA NA 1416 NA NA NA NA NA
1519768800.0 10024.2 NA 105 NA NA NA NA NA NA 172 NA NA NA NA NA NA 1160 NA NA NA NA NA NA 1391 NA NA NA NA NA
1519768800.0 10024.3 NA 102 NA NA NA NA NA NA 171 NA NA NA NA NA NA 1139 NA NA NA NA NA NA 1398 NA NA NA NA NA
