Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1520373600.0 10001.0 NA 98 NA NA NA 165 NA NA NA 823 NA NA NA 1678 NA NA
1520373600.0 10002.0 NA 99 NA NA NA 165 NA NA NA 819 NA NA NA 1933 NA NA
1520373600.0 10003.0 NA 101 NA NA NA 168 NA NA NA 831 NA NA NA 1679 NA NA
1520373600.0 10004.0 NA 99 NA NA NA 165 NA NA NA 805 NA NA NA 1930 NA NA
1520373600.0 10005.0 NA 99 NA NA NA 165 NA NA NA 833 NA NA NA 1932 NA NA
1520373600.0 10006.0 NA 100 NA NA NA 168 NA NA NA 805 NA NA NA 1671 NA NA
1520373600.0 10007.0 NA 102 NA NA NA 168 NA NA NA 863 NA NA NA 1933 NA NA
1520373600.0 10008.0 NA 100 NA NA NA 168 NA NA NA 849 NA NA NA 1685 NA NA
1520373600.0 10009.0 NA 88 NA NA NA 168 NA NA NA 898 NA NA NA 2589 NA NA
1520373600.0 10023.0 NA 100 NA NA NA 166 NA NA NA 836 NA NA NA 1933 NA NA
1520373600.0 10024.0 NA 106 NA NA NA 172 NA NA NA 1078 NA NA NA 1934 NA NA
1520373600.0 10024.1 NA 95 NA NA NA 172 NA NA NA 1106 NA NA NA 1360 NA NA
1520373600.0 10024.2 NA 94 NA NA NA 172 NA NA NA 1114 NA NA NA 1305 NA NA
1520373600.0 10024.3 NA 94 NA NA NA 172 NA NA NA 1099 NA NA NA 1294 NA NA
1520373600.0 10024.4 NA 94 NA NA NA 172 NA NA NA 1091 NA NA NA 1313 NA NA
1520373600.0 10024.5 NA 91 NA NA NA 172 NA NA NA 1120 NA NA NA 1367 NA NA
1520373600.0 10025.0 NA 105 NA NA NA 169 NA NA NA 938 NA NA NA 2017 NA NA
1520373600.0 10026.0 NA 109 NA NA NA 180 NA NA NA 1172 NA NA NA 2225 NA NA
1520373600.0 10042.0 NA 89 NA NA NA 169 NA NA NA 962 NA NA NA 2662 NA NA
1520373600.0 10059.0 NA 107 NA NA NA 177 NA NA NA 1234 NA NA NA 2094 NA NA
1520373600.0 10071.0 NA 105 NA NA NA 171 NA NA NA 1031 NA NA NA 2097 NA NA
1520373600.0 10224.0 NA 178 NA NA NA 245 NA NA NA 6621 NA NA NA 9313 NA NA
1520373600.0 10225.0 NA 173 NA NA NA 238 NA NA NA 6411 NA NA NA 8626 NA NA
1520373600.0 103.0 47 0 NA NA 88 0 NA NA 1050 279 NA NA 1216 332 NA NA
1520373600.0 10424.0 NA 97 NA NA NA 171 NA NA NA 1041 NA NA NA 1542 NA NA
1520373600.0 105.0 62 89 38 NA 113 111 59 NA 3450 672 167 NA 3693 718 198 NA
1520373600.0 106.0 47 0 NA NA 88 0 NA NA 1053 276 NA NA 1213 332 NA NA
1520373600.0 107.0 63 74 NA NA 114 112 NA NA 5745 833 NA NA 6324 1014 NA NA
1520373600.0 108.0 74 74 NA NA 116 112 NA NA 8933 900 NA NA 10538 1097 NA NA
1520373600.0 10801.0 NA 164 NA NA NA 253 NA NA NA 2446 NA NA NA 2860 NA NA
1520373600.0 10802.0 NA 161 NA NA NA 253 NA NA NA 2527 NA NA NA 3167 NA NA
1520373600.0 10803.0 NA 165 NA NA NA 254 NA NA NA 2570 NA NA NA 3134 NA NA
1520373600.0 10804.0 NA 163 NA NA NA 252 NA NA NA 2420 NA NA NA 2930 NA NA
1520373600.0 10805.0 NA 166 NA NA NA 253 NA NA NA 2474 NA NA NA 2913 NA NA
1520373600.0 10806.0 NA 158 NA NA NA 252 NA NA NA 2473 NA NA NA 3052 NA NA
1520373600.0 10807.0 NA 163 NA NA NA 253 NA NA NA 2624 NA NA NA 3253 NA NA
1520373600.0 10808.0 NA 168 NA NA NA 253 NA NA NA 2551 NA NA NA 2924 NA NA
1520373600.0 10809.0 NA 168 NA NA NA 253 NA NA NA 2525 NA NA NA 2886 NA NA
1520373600.0 10823.0 NA 165 NA NA NA 253 NA NA NA 2468 NA NA NA 2971 NA NA
1520373600.0 10824.0 NA 177 NA NA NA 264 NA NA NA 2929 NA NA NA 3416 NA NA
1520373600.0 10824.1 NA 175 NA NA NA 264 NA NA NA 2912 NA NA NA 3225 NA NA
1520373600.0 10824.5 NA 174 NA NA NA 264 NA NA NA 2922 NA NA NA 3241 NA NA
1520373600.0 10824.6 NA 176 NA NA NA 264 NA NA NA 2941 NA NA NA 3420 NA NA
1520373600.0 10825.0 NA 170 NA NA NA 256 NA NA NA 2626 NA NA NA 3095 NA NA
1520373600.0 10826.0 NA 180 NA NA NA 270 NA NA NA 3063 NA NA NA 3439 NA NA
1520373600.0 10842.0 NA 170 NA NA NA 259 NA NA NA 2814 NA NA NA 3290 NA NA
1520373600.0 10859.0 NA 187 NA NA NA 271 NA NA NA 3403 NA NA NA 4132 NA NA
1520373600.0 10871.0 NA 178 NA NA NA 267 NA NA NA 3014 NA NA NA 3503 NA NA
1520373600.0 109.0 75 74 NA NA 116 113 NA NA 8320 882 NA NA 10383 1088 NA NA
1520373600.0 110.0 57 73 NA NA 103 110 NA NA 1325 745 NA NA 1629 889 NA NA
1520373600.0 11024.0 NA 281 NA NA NA 366 NA NA NA 14037 NA NA NA 16404 NA NA
1520373600.0 11024.6 NA 287 NA NA NA 361 NA NA NA 13826 NA NA NA 15609 NA NA
1520373600.0 11025.0 NA 275 NA NA NA 361 NA NA NA 13713 NA NA NA 15269 NA NA
1520373600.0 111.0 64 77 NA NA 114 111 NA NA 3437 602 NA NA 3716 653 NA NA
1520373600.0 112.0 61 73 NA NA 114 111 NA NA 6405 838 NA NA 7091 1021 NA NA
1520373600.0 11224.0 NA 171 NA NA NA 265 NA NA NA 2901 NA NA NA 3356 NA NA
1520373600.0 11224.6 NA 170 NA NA NA 265 NA NA NA 2909 NA NA NA 3422 NA NA
1520373600.0 113.0 73 75 NA NA 116 113 NA NA 7463 874 NA NA 8889 1061 NA NA
1520373600.0 114.0 75 75 NA NA 115 112 NA NA 6893 855 NA NA 8921 1045 NA NA
1520373600.0 115.0 75 75 NA NA 116 112 NA NA 7265 892 NA NA 8624 1093 NA NA
1520373600.0 116.0 74 75 NA NA 115 112 NA NA 7962 858 NA NA 9531 1043 NA NA
1520373600.0 11623.0 56 89 NA NA 95 129 NA NA 1750 1258 NA NA 2021 1485 NA NA
1520373600.0 11624.0 67 93 NA NA 99 133 NA NA 7861 1460 NA NA 9130 1808 NA NA
1520373600.0 11625.0 67 94 NA NA 98 133 NA NA 5598 1374 NA NA 6819 1614 NA NA
1520373600.0 11626.0 68 94 NA NA 101 134 NA NA 13866 1501 NA NA 15433 1745 NA NA
1520373600.0 11642.0 59 92 NA NA 97 132 NA NA 2467 1080 NA NA 3360 1318 NA NA
1520373600.0 117.0 74 76 NA NA 116 113 NA NA 9384 893 NA NA 10969 1075 NA NA
1520373600.0 118.0 74 74 NA NA 116 113 NA NA 8549 910 NA NA 9917 1115 NA NA
1520373600.0 119.0 63 74 NA NA 114 111 NA NA 5569 827 NA NA 6162 997 NA NA
1520373600.0 12.0 NA 98 NA NA NA 175 NA NA NA 4374 NA NA NA 4835 NA NA
1520373600.0 120.0 56 72 NA NA 95 108 NA NA 1130 727 NA NA 1393 872 NA NA
1520373600.0 12024.0 67 96 NA NA 99 133 NA NA 8019 1365 NA NA 9309 1913 NA NA
1520373600.0 121.0 72 76 NA NA 117 112 NA NA 9047 923 NA NA 10532 1125 NA NA
1520373600.0 122.0 61 73 NA NA 112 109 NA NA 1454 490 NA NA 1670 600 NA NA
1520373600.0 125.0 63 74 NA NA 114 111 NA NA 6236 841 NA NA 6888 1021 NA NA
1520373600.0 126.0 55 73 NA NA 103 108 NA NA 2430 815 NA NA 4039 1219 NA NA
