Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1520892000.0 1000.0 NA 239 152 0 47 NA NA NA NA 330 250 0 81 NA NA NA NA 6057 3094 1550 618 NA NA NA NA 6335 3636 1602 727 NA NA NA
1520892000.0 10001.0 NA 88 292 67 0 NA NA NA NA 165 347 104 0 NA NA NA NA 799 3183 536 2689 NA NA NA NA 871 3337 651 2732 NA NA NA
1520892000.0 10002.0 NA 86 293 69 0 NA NA NA NA 166 347 104 0 NA NA NA NA 785 3196 528 2690 NA NA NA NA 872 3321 619 2736 NA NA NA
1520892000.0 10003.0 NA 91 294 67 0 NA NA NA NA 169 348 104 0 NA NA NA NA 801 3299 535 2721 NA NA NA NA 878 3419 663 2766 NA NA NA
1520892000.0 10004.0 NA 87 292 72 0 NA NA NA NA 165 347 104 0 NA NA NA NA 775 3127 522 2714 NA NA NA NA 851 3248 615 2759 NA NA NA
1520892000.0 10005.0 NA 87 291 68 0 NA NA NA NA 166 347 104 0 NA NA NA NA 810 3148 539 2672 NA NA NA NA 902 3272 639 2713 NA NA NA
1520892000.0 10006.0 NA 88 290 68 0 NA NA NA NA 168 346 103 0 NA NA NA NA 808 3158 540 2691 NA NA NA NA 880 3273 660 2734 NA NA NA
1520892000.0 10007.0 NA 90 295 68 0 NA NA NA NA 168 348 104 0 NA NA NA NA 871 3335 535 2686 NA NA NA NA 979 3462 672 2739 NA NA NA
1520892000.0 10008.0 NA 91 294 68 0 NA NA NA NA 168 348 104 0 NA NA NA NA 845 3382 539 2685 NA NA NA NA 922 3703 642 2730 NA NA NA
1520892000.0 10009.0 NA 92 292 68 0 NA NA NA NA 168 348 104 0 NA NA NA NA 873 3363 533 2737 NA NA NA NA 1000 3528 672 2792 NA NA NA
1520892000.0 1001.0 NA 210 108 0 0 0 0 0 NA 286 144 0 0 0 0 0 NA 5109 1220 138 219 415 252 406 NA 5300 1645 164 241 441 282 429
1520892000.0 1002.0 NA 236 67 NA NA NA NA NA NA 323 110 NA NA NA NA NA NA 6206 911 NA NA NA NA NA NA 6437 975 NA NA NA NA NA
1520892000.0 10023.0 NA 87 291 68 0 NA NA NA NA 166 349 103 0 NA NA NA NA 802 3189 531 2772 NA NA NA NA 912 3311 655 2814 NA NA NA
1520892000.0 10024.0 NA 96 302 69 0 NA NA NA NA 172 355 105 0 NA NA NA NA 1069 3854 550 2769 NA NA NA NA 1161 4078 657 2810 NA NA NA
1520892000.0 10024.1 NA 92 169 0 NA NA NA NA NA 172 202 0 NA NA NA NA NA 1075 1580 668 NA NA NA NA NA 1159 1674 698 NA NA NA NA
1520892000.0 10024.2 NA 92 298 0 NA NA NA NA NA 172 353 0 NA NA NA NA NA 1064 3757 2657 NA NA NA NA NA 1131 3881 2702 NA NA NA NA
1520892000.0 10024.3 NA 93 161 0 NA NA NA NA NA 172 193 0 NA NA NA NA NA 1082 1531 577 NA NA NA NA NA 1170 1608 605 NA NA NA NA
1520892000.0 10024.4 NA 95 295 0 NA NA NA NA NA 172 351 0 NA NA NA NA NA 1077 3744 2658 NA NA NA NA NA 1144 3881 2702 NA NA NA NA
1520892000.0 10024.5 NA 95 96 0 NA NA NA NA NA 172 117 0 NA NA NA NA NA 1055 813 218 NA NA NA NA NA 1136 928 246 NA NA NA NA
1520892000.0 10025.0 NA 91 293 68 0 NA NA NA NA 169 350 104 0 NA NA NA NA 921 3429 550 2736 NA NA NA NA 1006 3581 665 2785 NA NA NA
1520892000.0 10026.0 NA 99 303 69 0 NA NA NA NA 179 365 105 0 NA NA NA NA 1126 4420 540 2778 NA NA NA NA 1204 4549 663 2824 NA NA NA
1520892000.0 1003.0 NA 205 0 NA NA NA NA NA NA 286 0 NA NA NA NA NA NA 6496 1092 NA NA NA NA NA NA 6764 1162 NA NA NA NA NA
1520892000.0 1004.0 NA 184 92 0 0 NA NA NA NA 261 127 0 0 NA NA NA NA 1684 480 135 229 NA NA NA NA 1935 590 316 303 NA NA NA
1520892000.0 10042.0 NA 90 295 68 0 NA NA NA NA 169 351 105 0 NA NA NA NA 913 3561 546 2714 NA NA NA NA 993 3867 662 2759 NA NA NA
1520892000.0 10059.0 NA 116 299 67 0 NA NA NA NA 178 363 104 0 NA NA NA NA 1210 5084 545 2722 NA NA NA NA 1304 5218 664 2768 NA NA NA
1520892000.0 10071.0 NA 92 297 69 0 NA NA NA NA 171 354 104 0 NA NA NA NA 999 3700 541 2734 NA NA NA NA 1085 3866 646 2775 NA NA NA
1520892000.0 101.0 91 NA NA NA NA NA NA NA 140 NA NA NA NA NA NA NA 1969 NA NA NA NA NA NA NA 2036 NA NA NA NA NA NA NA
1520892000.0 1010.0 NA 37 38 NA NA NA NA NA NA 97 70 NA NA NA NA NA NA 205 236 NA NA NA NA NA NA 302 420 NA NA NA NA NA
1520892000.0 102.0 92 NA NA NA NA NA NA NA 141 NA NA NA NA NA NA NA 1743 NA NA NA NA NA NA NA 1807 NA NA NA NA NA NA NA
1520892000.0 1020.0 NA 38 NA NA NA NA NA NA NA 110 NA NA NA NA NA NA NA 460 NA NA NA NA NA NA NA 545 NA NA NA NA NA NA
