Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1520722800.0 10.0 NA 113 385 0 NA NA 223 465 0 NA NA 2198 1834 402 NA NA 737 850 409 NA
1520722800.0 10021.0 NA 199 465 89 0 NA 313 583 125 0 NA 936 1544 91 948 NA 499 1375 119 961
1520722800.0 10024.0 NA 208 481 88 0 NA 344 582 124 0 NA 749 1651 95 1001 NA 469 1581 171 1016
1520722800.0 10024.2 NA 205 482 0 NA NA 337 588 0 NA NA 768 1696 983 NA NA 483 1494 996 NA
1520722800.0 10025.0 NA 205 471 87 0 NA 326 598 123 0 NA 622 1450 90 971 NA 436 1362 138 985
1520722800.0 10224.0 NA 328 729 0 NA NA 451 957 0 NA NA 3036 4412 956 NA NA 1283 2410 982 NA
1520722800.0 10225.0 NA 307 728 0 NA NA 425 887 0 NA NA 2843 3303 946 NA NA 1720 2003 958 NA
1520722800.0 108.0 83 92 379 NA NA 161 197 460 NA NA 3788 428 551 NA NA 1345 249 436 NA NA
1520722800.0 121.0 79 94 374 NA NA 157 192 479 NA NA 3642 454 560 NA NA 1344 254 447 NA NA
1520722800.0 134.701 NA 43 384 0 NA NA 90 463 0 NA NA 354 3367 316 NA NA 174 1510 333 NA
1520722800.0 134.905 NA 46 378 0 NA NA 95 454 0 NA NA 460 3777 331 NA NA 172 1495 344 NA
1520722800.0 134.907 NA 87 390 0 NA NA 154 483 0 NA NA 6698 4925 356 NA NA 2469 1840 369 NA
1520722800.0 135.1 408 0 114 NA NA 509 0 154 NA NA 938 243 188 NA NA 620 254 177 NA NA
1520722800.0 135.11 431 0 111 NA NA 540 0 164 NA NA 1349 253 252 NA NA 821 264 184 NA NA
1520722800.0 135.2 365 0 102 NA NA 477 0 153 NA NA 742 201 146 NA NA 568 213 173 NA NA
1520722800.0 135.3 365 0 109 NA NA 465 0 153 NA NA 749 193 143 NA NA 557 203 161 NA NA
1520722800.0 135.5 402 0 102 NA NA 513 0 151 NA NA 792 241 157 NA NA 577 261 179 NA NA
1520722800.0 1350.0 NA 190 456 0 NA NA 319 542 0 NA NA 602 709 771 NA NA 400 633 782 NA
1520722800.0 1356.0 91 197 460 0 111 135 317 549 0 160 2847 626 796 783 174 1048 414 710 793 186
1520722800.0 136.722 NA 201 432 0 NA NA 298 524 0 NA NA 3436 6443 459 NA NA 1047 2376 470 NA
1520722800.0 136.724 NA 204 430 0 NA NA 308 520 0 NA NA 4244 7618 489 NA NA 1257 2459 501 NA
1520722800.0 136.725 NA 214 430 0 NA NA 298 529 0 NA NA 3363 6112 477 NA NA 1053 2009 486 NA
1520722800.0 136.726 NA 215 424 0 NA NA 308 512 0 NA NA 3746 7392 497 NA NA 1131 2540 510 NA
1520722800.0 136.727 NA 242 441 0 NA NA 344 543 0 NA NA 5376 6814 471 NA NA 1705 2671 481 NA
1520722800.0 136.728 NA 252 455 0 NA NA 342 539 0 NA NA 53385 7619 459 NA NA 21452 2514 468 NA
1520722800.0 136.729 NA 200 428 0 NA NA 297 508 0 NA NA 3188 6366 452 NA NA 1003 2091 459 NA
1520722800.0 136.73 NA 209 438 0 NA NA 302 543 0 NA NA 3327 6347 460 NA NA 1055 2095 468 NA
1520722800.0 136.731 NA 220 429 0 NA NA 308 517 0 NA NA 3625 7158 540 NA NA 1121 2365 552 NA
1520722800.0 136.732 NA 202 414 0 NA NA 285 497 0 NA NA 2541 5294 483 NA NA 946 1889 494 NA
1520722800.0 136.7321 NA 210 441 0 NA NA 291 543 0 NA NA 2614 5758 502 NA NA 892 2036 519 NA
1520722800.0 136.734 NA 199 432 0 NA NA 296 512 0 NA NA 3697 6864 507 NA NA 1142 2273 519 NA
1520722800.0 136.736 NA 232 444 0 NA NA 333 544 0 NA NA 4548 9444 450 NA NA 1548 3404 459 NA
1520722800.0 136.737 NA 229 466 0 NA NA 323 566 0 NA NA 5478 12371 465 NA NA 1796 3823 474 NA
1520722800.0 136.738 NA 228 446 0 NA NA 325 540 0 NA NA 5157 10531 465 NA NA 1641 3388 474 NA
