Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1520118000.0 1.0 79 85 160 NA NA NA NA NA 174 348 249 NA NA NA NA NA 1904 645 942 NA NA NA NA NA 1591 991 1749 NA NA NA NA NA
1520118000.0 10.0 NA 121 422 0 NA NA NA NA NA 357 507 0 NA NA NA NA NA 2746 3119 529 NA NA NA NA NA 1727 2033 603 NA NA NA NA
1520118000.0 1000.0 NA 335 154 0 50 NA NA NA NA 485 246 0 88 NA NA NA NA 2564 1187 575 281 NA NA NA NA 2325 1509 780 577 NA NA NA
1520118000.0 10001.0 NA 104 556 77 0 NA NA NA NA 367 708 120 0 NA NA NA NA 609 1936 280 1225 NA NA NA NA 904 2540 439 1995 NA NA NA
1520118000.0 10002.0 NA 110 560 73 0 NA NA NA NA 367 677 121 0 NA NA NA NA 741 2000 283 1249 NA NA NA NA 673 3128 546 1637 NA NA NA
1520118000.0 10003.0 NA 114 559 74 0 NA NA NA NA 368 700 120 0 NA NA NA NA 561 1943 302 1154 NA NA NA NA 598 2363 590 1244 NA NA NA
1520118000.0 10004.0 NA 106 559 84 0 NA NA NA NA 367 680 121 0 NA NA NA NA 594 1926 287 1158 NA NA NA NA 535 2836 460 1323 NA NA NA
1520118000.0 10005.0 NA 103 555 75 0 NA NA NA NA 367 709 120 0 NA NA NA NA 619 1955 488 1143 NA NA NA NA 653 2554 564 1215 NA NA NA
1520118000.0 10006.0 NA 112 557 82 0 NA NA NA NA 362 685 120 0 NA NA NA NA 537 1901 281 1179 NA NA NA NA 607 2277 434 1299 NA NA NA
1520118000.0 10007.0 NA 114 559 78 0 NA NA NA NA 367 705 122 0 NA NA NA NA 589 1991 279 1153 NA NA NA NA 611 2554 414 1231 NA NA NA
1520118000.0 10008.0 NA 107 560 76 0 NA NA NA NA 367 703 122 0 NA NA NA NA 628 1983 357 1195 NA NA NA NA 572 2551 734 1291 NA NA NA
1520118000.0 10009.0 NA 111 555 74 0 NA NA NA NA 367 672 121 0 NA NA NA NA 578 2047 279 1144 NA NA NA NA 545 2927 482 1224 NA NA NA
1520118000.0 1001.0 NA 357 181 0 0 0 0 0 NA 455 229 0 0 0 0 0 NA 2263 497 59 85 220 109 226 NA 2483 547 102 155 301 230 317
1520118000.0 1002.0 NA 374 74 NA NA NA NA NA NA 467 120 NA NA NA NA NA NA 2554 364 NA NA NA NA NA NA 1870 487 NA NA NA NA NA
1520118000.0 10023.0 NA 108 559 81 0 NA NA NA NA 368 675 121 0 NA NA NA NA 617 1798 278 1188 NA NA NA NA 590 1918 545 1333 NA NA NA
1520118000.0 10024.0 NA 125 578 76 0 NA NA NA NA 368 712 122 0 NA NA NA NA 828 2200 293 1311 NA NA NA NA 706 2261 512 1459 NA NA NA
1520118000.0 10024.1 NA 123 261 0 NA NA NA NA NA 368 346 0 NA NA NA NA NA 702 810 357 NA NA NA NA NA 615 977 823 NA NA NA NA
1520118000.0 10024.2 NA 125 565 0 NA NA NA NA NA 367 707 0 NA NA NA NA NA 651 2218 1201 NA NA NA NA NA 552 2295 1351 NA NA NA NA
1520118000.0 10024.3 NA 123 235 0 NA NA NA NA NA 367 319 0 NA NA NA NA NA 662 835 283 NA NA NA NA NA 547 995 385 NA NA NA NA
