Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1520892000.0 1010.0 NA 23 69 0 NA 73 120 0 NA 170 216 103 NA 1010 471 247
1520892000.0 1020.0 NA 36 NA NA NA 105 NA NA NA 249 NA NA NA 460 NA NA
1520892000.0 250199.17 267 NA NA NA 427 NA NA NA 5000 NA NA NA 13776 NA NA NA
1520892000.0 250199.18 364 NA NA NA 532 NA NA NA 7718 NA NA NA 12118 NA NA NA
1520892000.0 551.0 16 43 0 NA 137 82 0 NA 998 202 135 NA 1597 478 271 NA
1520892000.0 552.0 16 39 0 NA 137 81 0 NA 1750 203 134 NA 4702 349 330 NA
1520892000.0 554.0 16 37 0 NA 137 81 0 NA 2832 198 129 NA 5260 395 502 NA
1520892000.0 555.0 16 43 0 NA 137 81 0 NA 1065 200 122 NA 3198 519 491 NA
1520892000.0 556.0 16 38 0 NA 137 83 0 NA 443 224 130 NA 1413 365 446 NA
1520892000.0 560.0 40 0 NA NA 79 0 NA NA 188 130 NA NA 462 259 NA NA
1520892000.0 561.0 36 0 NA NA 79 0 NA NA 201 138 NA NA 391 343 NA NA
1520892000.0 562.0 16 42 0 NA 137 82 0 NA 625 205 135 NA 1200 410 262 NA
