Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1520935200.0 126.0 82 97 277 162 367 368 1592 434 1354 742 357 1428
1520935200.0 127.0 69 105 265 125 367 367 1273 439 1340 665 355 1423
1520935200.0 129.0 72 106 268 133 367 358 984 442 1309 681 359 1407
1520935200.0 132.0 112 102 277 197 367 355 3195 492 1459 1484 401 1479
1520935200.0 136.787 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1520935200.0 1360.0 0 NA NA 0 NA NA 819 NA NA 577 NA NA
1520935200.0 1361.0 0 NA NA 0 NA NA 902 NA NA 586 NA NA
1520935200.0 1361.17 0 NA NA 0 NA NA 880 NA NA 619 NA NA
1520935200.0 1362.0 0 NA NA 0 NA NA 1135 NA NA 822 NA NA
1520935200.0 1362.17 0 NA NA 0 NA NA 910 NA NA 663 NA NA
1520935200.0 1363.0 0 NA NA 0 NA NA 844 NA NA 519 NA NA
1520935200.0 1363.17 0 NA NA 0 NA NA 891 NA NA 540 NA NA
1520935200.0 25210.0 0 NA NA 0 NA NA 889 NA NA 588 NA NA
1520935200.0 25211.0 0 NA NA 0 NA NA 916 NA NA 1013 NA NA
1520935200.0 25211.17 0 NA NA 0 NA NA 928 NA NA 583 NA NA
1520935200.0 25212.0 0 NA NA 0 NA NA 1068 NA NA 716 NA NA
1520935200.0 25212.17 0 NA NA 0 NA NA 1061 NA NA 876 NA NA
1520935200.0 25213.0 0 NA NA 0 NA NA 1042 NA NA 710 NA NA
1520935200.0 25213.17 0 NA NA 0 NA NA 962 NA NA 676 NA NA
1520935200.0 4000.0 NA 131 306 NA 376 385 NA 2462 3757 NA 1040 2321
1520935200.0 4001.0 NA 190 368 NA 395 464 NA 1010 2160 NA 1074 2171
1520935200.0 4002.0 NA 134 301 NA 384 400 NA 2039 2467 NA 933 2063
1520935200.0 4003.0 NA 124 299 NA 376 400 NA 2073 2694 NA 1221 2096
1520935200.0 4006.0 70 161 338 142 384 438 1361 918 1848 830 876 1926
1520935200.0 4007.0 63 125 294 126 384 398 831 381 1541 922 532 1899
1520935200.0 4008.0 59 125 292 121 392 390 1183 402 1460 888 543 1572
1520935200.0 511.0 48 0 NA 85 0 NA 10930 123 NA 12282 188 NA
